Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
7,"Adcock, Jed",10,4,11,21,,,,3.0,3.0,1.0,,5.0,1.0,2.0,,3.0,16.0,,,4.0,,,91.0
18,"Banfield, Todd",2,,5,7,,,,2.0,,,1.0,3.0,,1.0,,5.0,2.0,,,1.0,,,78.0
20,"Black, Simon",9,3,18,27,,1.0,,,2.0,1.0,4.0,7.0,,1.0,,15.0,11.0,,,,,,79.0
16,"Brown, Jonathan",11,7,10,21,2,1.0,,,2.0,5.0,1.0,,3.0,,,8.0,14.0,1.0,2.0,2.0,,2.0,99.0
44,"Cornelius, Aaron",8,4,5,13,1,,,1.0,,3.0,,5.0,1.0,,,9.0,3.0,3.0,2.0,1.0,,,90.0
47,"Crisp, Jack",10,4,6,16,2,,,2.0,2.0,4.0,2.0,2.0,,,,7.0,11.0,,1.0,3.0,1.0,,78.0
41,"Golby, Mitch",8,3,6,14,,,,5.0,1.0,1.0,,1.0,,,,2.0,12.0,,,3.0,1.0,,94.0
11,"Hanley, Pearce",11,1,13,24,,,,5.0,4.0,2.0,,2.0,1.0,1.0,,6.0,17.0,,,1.0,,,89.0
2,"Harwood, Ryan",8,3,8,16,,,,1.0,1.0,3.0,1.0,2.0,,1.0,,7.0,9.0,,,,,,78.0
22,"Hudson, Ben",4,4,12,16,1,,23.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,,10.0,8.0,,,5.0,,,84.0
28 ↑,"Karnezis, Patrick",6,6,2,8,,2.0,,1.0,,1.0,,,,,,2.0,6.0,1.0,3.0,,,,24.0
35,"Lester, Ryan",10,4,8,18,,,,3.0,7.0,1.0,1.0,1.0,1.0,1.0,,3.0,14.0,,,4.0,,,96.0
5 ↓,"Longer, Billy",,,1,1,,,7.0,3.0,,,,,,,,1.0,,,,,,,55.0
36,"Maguire, Matt",7,3,6,13,,,1.0,4.0,6.0,,1.0,1.0,,,,4.0,10.0,,,12.0,,,94.0
9,"McGrath, Ashley",10,3,5,15,1,1.0,,3.0,3.0,2.0,1.0,6.0,,1.0,,5.0,10.0,,,1.0,1.0,,70.0
21,"Merrett, Daniel",3,1,3,6,,,,6.0,2.0,,,5.0,1.0,4.0,,4.0,2.0,,,15.0,,,100.0
24,"Patfull, Joel",3,3,5,8,,,,1.0,,3.0,,1.0,,,,4.0,4.0,1.0,,2.0,,1.0,91.0
4,"Polec, Jared",9,2,4,13,2,,2.0,1.0,1.0,2.0,,2.0,,,,5.0,7.0,1.0,,,2.0,,79.0
31,"Polkinghorne, James",14,3,6,20,,,,2.0,1.0,4.0,1.0,4.0,3.0,2.0,,6.0,15.0,,,3.0,,1.0,81.0
30,"Redden, Jack",15,8,15,30,,1.0,,5.0,1.0,3.0,4.0,2.0,,,,6.0,24.0,,1.0,3.0,,,84.0
10,"Rich, Daniel",15,5,15,30,,1.0,,5.0,3.0,2.0,5.0,6.0,1.0,2.0,,14.0,17.0,,,,,,84.0
38,"Rockliff, Tom",7,5,14,21,,,,3.0,3.0,3.0,3.0,,,,,9.0,15.0,,,6.0,,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,180,76,178,358,9,8.0,33.0,59.0,43.0,44.0,28.0,57.0,14.0,18.0,,135.0,227.0,7.0,9.0,66.0,5.0,4.0,
Opposition,Opposition,279,131,182,461,19,15.0,48.0,76.0,31.0,68.0,44.0,43.0,18.0,14.0,6.0,155.0,302.0,7.0,10.0,43.0,8.0,11.0,
