Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
7,"Baker, Liam",9,3,11,20,,,,4.0,2.0,3.0,2.0,4.0,2.0,1.0,,8.0,12.0,,,1.0,,,76.0
21,"Balta, Noah",6,4,3,9,,,4.0,,1.0,3.0,,3.0,,,,4.0,5.0,,1.0,4.0,,,87.0
41,"Banks, Sam",11,3,4,15,1,,,2.0,3.0,4.0,1.0,1.0,1.0,,,2.0,11.0,,,,1.0,1.0,76.0
29,"Bolton, Shai",10,2,11,21,,3.0,,2.0,1.0,4.0,4.0,9.0,1.0,3.0,,10.0,13.0,,2.0,2.0,,,90.0
35,"Broad, Nathan",16,15,11,27,,,,2.0,4.0,1.0,1.0,,,,1.0,8.0,17.0,4.0,,1.0,,,94.0
30,"Brown, Tom",7,5,1,8,3,,,,,3.0,,3.0,,,,3.0,5.0,2.0,2.0,,,,77.0
44,"Campbell, Seth",5,2,5,10,1,1.0,,4.0,,2.0,,2.0,1.0,1.0,,3.0,7.0,,,1.0,,,81.0
27 ↑,"Dow, Thomson",3,2,6,9,,,,,3.0,,1.0,2.0,2.0,,,5.0,6.0,,,,,,25.0
48,"Green, Steely",5,2,6,11,,1.0,,,,3.0,2.0,,,,,3.0,8.0,,,2.0,2.0,,82.0
22,"Hopper, Jacob",11,5,9,20,,1.0,,3.0,,4.0,,2.0,,1.0,,3.0,17.0,,,,,,78.0
20,"Koschitzke, Jacob",5,3,7,12,1,,1.0,3.0,,1.0,,3.0,4.0,,,12.0,3.0,1.0,1.0,3.0,,,84.0
31,"Mansell, Rhyan",6,1,2,8,,,,,,4.0,,1.0,,,,2.0,7.0,,,1.0,1.0,,78.0
33,"McIntosh, Kamdyn",13,6,7,20,1,1.0,,1.0,,2.0,3.0,1.0,1.0,1.0,,7.0,12.0,1.0,2.0,,,,79.0
46,"Miller, Ben",9,7,7,16,,,,1.0,3.0,1.0,,1.0,,1.0,,5.0,10.0,,,6.0,,,100.0
3,"Prestia, Dion",14,4,6,20,1,,,3.0,1.0,4.0,4.0,2.0,1.0,,,8.0,12.0,,,,,2.0,76.0
13,"Ralphsmith, Hugo",7,5,7,14,,,,1.0,1.0,3.0,,3.0,,1.0,,2.0,12.0,,1.0,1.0,,,89.0
17,"Rioli, Daniel",12,6,13,25,,1.0,,1.0,3.0,4.0,2.0,2.0,,,,5.0,19.0,,,2.0,2.0,,84.0
32,"Ryan, Samson",6,6,8,14,,1.0,13.0,4.0,1.0,2.0,5.0,4.0,2.0,3.0,,6.0,8.0,,1.0,4.0,,,79.0
15,"Short, Jayden",18,6,7,25,,,,1.0,3.0,2.0,,1.0,1.0,,,3.0,17.0,,,,,1.0,72.0
49,"Smith, Kaleb",5,4,2,7,1,,,,1.0,,,1.0,,,,1.0,6.0,,1.0,,,,74.0
14 ↓,"Taranto, Tim",3,2,8,11,,,,2.0,,,2.0,,1.0,,,4.0,7.0,,,,,,48.0
36,"Trezise, James",12,5,5,17,,,,,4.0,1.0,1.0,5.0,,,,6.0,10.0,1.0,,1.0,,,79.0
1,"Vlastuin, Nick",18,12,5,23,,,,,5.0,1.0,1.0,4.0,2.0,1.0,,6.0,14.0,3.0,,2.0,,,91.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,211,110,151,362,9,13.0,18.0,34.0,36.0,52.0,29.0,54.0,19.0,13.0,1.0,116.0,238.0,12.0,11.0,31.0,6.0,4.0,
Opposition,Opposition,199,83,149,348,14,9.0,46.0,55.0,42.0,51.0,39.0,66.0,13.0,19.0,5.0,128.0,204.0,14.0,20.0,45.0,6.0,12.0,
