Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",19,4.0,13,32,,,1.0,2.0,,,,,1.0,,,,,,,,,,
32,"Baldwin, Jason",16,5.0,3,19,1.0,,,1.0,,,,,1.0,2.0,,,,,,,,,
5,"Barker, John",3,1.0,1,4,,,,1.0,,,,,,,,,,,,,,,
14,"Bizzotto, Frank",4,2.0,6,10,,,,2.0,,,,,1.0,,,,,,,,,,
1,"Boyd, Brad",17,4.0,18,35,1.0,1.0,1.0,5.0,,,,,1.0,,,,,,,,,,
27,"Chandler, Brett",5,,5,10,,,,4.0,,,,,2.0,1.0,,,,,,,,,
35,"Cook, Brett",7,6.0,6,13,,,9.0,2.0,,,,,4.0,3.0,,,,,,,,,
24,"Cummings, Trent",4,1.0,1,5,2.0,,,,,,,,2.0,,,,,,,,,,
17,"Hawking, Simon",13,8.0,2,15,,,,,,,,,,,,,,,,,,,
3,"Hawkins, Doug",9,2.0,8,17,,,,,,,,,1.0,1.0,,,,,,,,,
10,"Hogg, Jeff",2,1.0,1,3,,,,1.0,,,,,,1.0,,,,,,,,,
2,"Johnson, Chris",8,3.0,4,12,,,,2.0,,,,,,1.0,,,,,,,,,
36,"Lamb, Wayne",7,,5,12,2.0,1.0,,4.0,,,,,2.0,1.0,,,,,,,,,
26,"Manfield, Matthew",3,2.0,2,5,,,,,,,,,,1.0,,,,,,,,,
25,"McCarthy, John",12,10.0,6,18,,,,,,,,,1.0,2.0,,,,,,,,,
11,"McGregor, Anthony",8,2.0,3,11,,,,1.0,,,,,,1.0,,,,,,,,,
7,"Molloy, Jarrod",7,3.0,2,9,,,,1.0,,,,,1.0,1.0,,,,,,,,,
4,"Paxman, Stephen",9,1.0,8,17,,,1.0,4.0,,,,,3.0,,,,,,,,,,
8,"Pike, Martin",12,5.0,13,25,,,,,,,,,,3.0,,,,,,,,,
33,"Warfe, Rowan",5,3.0,7,12,,,,1.0,,,,,,,,,,,,,,,
16,"Zanotti, Mark",14,6.0,5,19,,,,2.0,,,,,2.0,,,,,,,,,,
Totals,Totals,184,69.0,119,303,6.0,2.0,12.0,33.0,,,,,22.0,18.0,,,,,,,,,
Opposition,Opposition,227,92.0,173,400,16.0,16.0,16.0,17.0,,,,,18.0,22.0,6.0,,,,,,,,
