Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Bickley, Mark",2,3,4,6,,,,2.0,,,,,,1.0,,,,,,,,,
21,"Brown, David",12,1,5,17,1,,,2.0,,,,,2.0,2.0,,,,,,,,,
30,"Fielke, Grantley",13,4,7,20,,,,,,,,,,3.0,,,,,,,,,
3,"Hart, Darel",9,1,11,20,,,,1.0,,,,,,,,,,,,,,,
8,"Hocking, Eddie",11,4,4,15,1,,,,,,,,1.0,3.0,,,,,,,,,
17,"Hodges, Scott",12,5,5,17,1,1.0,1.0,2.0,,,,,3.0,1.0,,,,,,,,,
35,"Jameson, Rod",13,9,8,21,1,2.0,,1.0,,,,,1.0,,,,,,,,,,
2,"Jarman, Andrew",17,4,16,33,1,1.0,,1.0,,,,,1.0,,,,,,,,,,
13,"Lee, Scott",14,3,8,22,,,,1.0,,,,,1.0,,,,,,,,,,
9,"Lindner, Bruce",12,6,7,19,5,,,2.0,,,,,2.0,3.0,,,,,,,,,
27,"Liptak, Matthew",2,,1,3,,,,,,,,,1.0,,,,,,,,,,
18,"Maynard, Rodney",8,5,9,17,1,,,1.0,,,,,,1.0,1.0,,,,,,,,
10,"McDermott, Chris",6,1,11,17,,,,1.0,,,,,,2.0,,,,,,,,,
23,"McIntyre, Peter",10,5,3,13,4,1.0,,,,,,,1.0,,,,,,,,,,
25,"Mickan, Mark",16,9,6,22,,1.0,9.0,,,,,,3.0,2.0,2.0,,,,,,,,
24,"Payze, Andrew",7,1,5,12,,1.0,,2.0,,,,,2.0,,,,,,,,,,
52,"Rehn, Shaun",5,4,2,7,1,1.0,3.0,,,,,,1.0,2.0,,,,,,,,,
7,"Smart, Nigel",12,3,10,22,,,,2.0,,,,,,1.0,3.0,,,,,,,,
49,"Tasker, Sean",8,2,,8,,,,,,,,,,1.0,,,,,,,,,
12,"Tregenza, Simon",17,3,9,26,,,,1.0,,,,,2.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,206,73,131,337,16,12.0,13.0,19.0,,,,,21.0,22.0,6.0,,,,,,,,
Opposition,Opposition,205,84,174,379,12,9.0,27.0,32.0,,,,,22.0,20.0,,,,,,,,,
