Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",9,1,4,13,,,,2.0,6.0,,,6.0,,2.0,,6.0,7.0,,,3.0,,1.0,77.0
16,"Brown, Leigh",3,4,5,8,,1.0,,3.0,,2.0,,,1.0,,,3.0,5.0,,1.0,,,,100.0
27,"Edwards, Aaron",6,6,2,8,1,1.0,,1.0,,1.0,,2.0,,1.0,,2.0,6.0,1.0,2.0,,,,68.0
24,"Firrito, Michael",6,2,13,19,,,,2.0,8.0,,1.0,1.0,1.0,1.0,,9.0,9.0,,,8.0,,1.0,100.0
6,"Grant, Shannon",7,2,9,16,,1.0,,2.0,,1.0,,2.0,1.0,,,7.0,10.0,,1.0,,2.0,1.0,91.0
31,"Hale, David",6,4,3,9,2,1.0,2.0,3.0,,2.0,1.0,1.0,2.0,1.0,,5.0,4.0,1.0,,4.0,,1.0,88.0
26,"Hansen, Lachlan",4,3,1,5,,1.0,,,,,,3.0,,1.0,,1.0,4.0,1.0,1.0,,,,85.0
4,"Harris, Daniel",7,1,13,20,,,,5.0,,3.0,8.0,3.0,2.0,2.0,,13.0,7.0,,1.0,2.0,,,71.0
29,"Harvey, Brent",17,4,9,26,4,1.0,,1.0,2.0,6.0,2.0,,1.0,,,11.0,15.0,1.0,,3.0,1.0,2.0,86.0
21,"Jones, Corey",7,6,1,8,4,1.0,,2.0,,2.0,,,,,,2.0,6.0,1.0,3.0,2.0,,,91.0
1,"McIntosh, Hamish",8,3,2,10,,,16.0,2.0,,4.0,2.0,2.0,2.0,2.0,,2.0,7.0,,1.0,2.0,,,72.0
20,"Petrie, Drew",8,6,12,20,,1.0,6.0,1.0,3.0,2.0,1.0,1.0,1.0,,,5.0,15.0,1.0,,5.0,1.0,,83.0
30,"Pratt, Daniel",7,6,8,15,,,1.0,2.0,7.0,,,,1.0,,,3.0,12.0,,,1.0,2.0,,82.0
3,"Rawlings, Brady",8,9,13,21,,,,4.0,1.0,3.0,,1.0,1.0,1.0,,3.0,19.0,,,2.0,4.0,,85.0
28,"Riggio, Matt",2,1,4,6,,,,2.0,1.0,,,1.0,,,,,5.0,,,4.0,,,86.0
7,"Simpson, Adam",19,5,6,25,1,,,4.0,2.0,6.0,7.0,4.0,1.0,1.0,,9.0,14.0,,,2.0,,,89.0
9,"Sinclair, Jess",15,3,6,21,1,1.0,,3.0,4.0,3.0,3.0,,2.0,,,6.0,15.0,,2.0,,2.0,,85.0
19,"Swallow, Andrew",8,2,9,17,,,,2.0,,5.0,2.0,2.0,,1.0,,4.0,14.0,,,2.0,,,63.0
12,"Thomas, Lindsay",8,4,5,13,1,2.0,,1.0,,4.0,2.0,2.0,2.0,2.0,,5.0,10.0,1.0,2.0,1.0,1.0,1.0,62.0
13,"Trotter, David",5,3,6,11,,,,,1.0,1.0,,2.0,,,,,11.0,,,,2.0,,48.0
36,"Watt, Shannon",12,4,5,17,,1.0,,,6.0,1.0,,1.0,,,,4.0,13.0,,1.0,6.0,,,99.0
8,"Wells, Daniel",11,6,12,23,1,1.0,,3.0,,6.0,2.0,3.0,,,,7.0,18.0,,1.0,,1.0,1.0,91.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,183,85,148,331,15,14.0,25.0,45.0,41.0,52.0,31.0,37.0,18.0,15.0,,107.0,226.0,7.0,16.0,47.0,16.0,8.0,
Opposition,Opposition,187,94,168,355,17,20.0,35.0,50.0,33.0,66.0,34.0,34.0,15.0,18.0,6.0,113.0,247.0,5.0,19.0,60.0,25.0,13.0,
