Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
24,"Biggs, Shane",24y 38d,16 (9-0-7 56.25%),3 (0.19),10 (6-0-4 60.00%),3 (0.30)
4,"Bontempelli, Marcus",19y 292d,37 (18-0-19 48.65%),32 (0.86),←,
5,"Boyd, Matthew",33y 16d,258 (122-2-134 47.67%),83 (0.32),←,
8,"Crameri, Stewart",27y 33d,97 (47-1-49 48.97%),165 (1.70),40 (16-0-24 40.00%),69 (1.73)
6,"Dahlhaus, Luke",23y 22d,94 (38-0-56 40.43%),86 (0.91),←,
35,"Daniel, Caleb",19y 67d,10 (6-0-4 60.00%),6 (0.60),←,
29,"Dickson, Tory",27y 351d,57 (24-0-33 42.11%),98 (1.72),←,
1,"Grant, Jarrad",26y 68d,81 (42-0-39 51.85%),83 (1.02),←,
30,"Hamling, Joel",22y 156d,11 (7-0-4 63.64%),,←,
22,"Honeychurch, Mitch",20y 194d,14 (8-0-6 57.14%),10 (0.71),←,
7,"Hunter, Lachie",20y 273d,36 (15-0-21 41.67%),16 (0.44),←,
46,"Jong, Lin",22y 100d,23 (9-0-14 39.13%),12 (0.52),←,
11,"Macrae, Jack",21y 40d,55 (25-0-30 45.45%),17 (0.31),←,
27,"Minson, Will",30y 154d,189 (91-1-97 48.41%),80 (0.42),←,
38,"Morris, Dale",32y 257d,207 (110-2-95 53.62%),3 (0.01),←,
2,"Murphy, Robert",33y 95d,292 (128-4-160 44.52%),173 (0.59),←,
42,"Picken, Liam",29y 42d,150 (69-0-81 46.00%),46 (0.31),←,
43,"Redpath, Jack",24y 273d,15 (9-0-6 60.00%),21 (1.40),←,
18,"Roberts, Fletcher",22y 101d,19 (8-0-11 42.11%),,←,
9,"Stringer, Jake",21y 140d,50 (22-0-28 44.00%),94 (1.88),←,
3,"Wallis, Mitch",22y 323d,76 (30-0-46 39.47%),30 (0.39),←,
10,"Wood, Easton",26y 8d,87 (42-0-45 48.28%),12 (0.14),←,
Totals,Totals,25y 6d,1874 (879-10-985 46.91%),1070 (0.57),,
C,"Beveridge, Luke",45y 20d,23 (14-0-9 60.87%),,←,
