Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
26,"Bickley, Mark",29y 39d,165 (82-0-83 49.70%),53 (0.32),←,
44,"Caven, Peter",28y 119d,121 (56-0-65 46.28%),53 (0.44),64 (35-0-29 54.69%),32 (0.50)
14,"Connell, Matthew",26y 40d,74 (33-0-41 44.59%),22 (0.30),71 (31-0-40 43.66%),22 (0.31)
9,"Edwards, Tyson",22y 37d,59 (31-0-28 52.54%),23 (0.39),←,
13,"Ellen, Shane",25y 254d,53 (24-0-29 45.28%),13 (0.25),42 (19-0-23 45.24%),12 (0.29)
36,"Goodwin, Simon",21y 260d,29 (21-0-8 72.41%),12 (0.41),←,
34,"Hart, Ben",24y 65d,157 (79-1-77 50.64%),31 (0.20),←,
11,"James, Brett",25y 271d,80 (41-1-38 51.88%),41 (0.51),38 (24-0-14 63.16%),15 (0.39)
35,"Jameson, Rod",28y 74d,141 (74-1-66 52.84%),108 (0.77),←,
3,"Jarman, Darren",31y 227d,173 (102-0-71 58.96%),246 (1.42),64 (37-0-27 57.81%),124 (1.94)
5,"Koster, Kym",25y 223d,95 (56-1-38 59.47%),36 (0.38),57 (36-0-21 63.16%),23 (0.40)
31,"Marsh, Ben",22y 65d,8 (5-0-3 62.50%),4 (0.50),←,
23,"McLeod, Andrew",22y 39d,77 (41-0-36 53.25%),70 (0.91),←,
15,"Pittman, David",29y 201d,114 (56-1-57 49.56%),27 (0.24),←,
52,"Rehn, Shaun",27y 26d,116 (65-1-50 56.47%),41 (0.35),←,
32,"Ricciuto, Mark",23y 96d,126 (60-1-65 48.02%),82 (0.65),←,
42,"Rintoul, Chad",24y 43d,22 (12-0-10 54.55%),16 (0.73),←,
10,"Robran, Matthew",27y 177d,83 (48-0-35 57.83%),77 (0.93),76 (44-0-32 57.89%),72 (0.95)
7,"Smart, Nigel",29y 114d,164 (81-1-82 49.70%),82 (0.50),←,
19,"Stevens, Mark",22y 322d,39 (27-0-12 69.23%),28 (0.72),18 (11-0-7 61.11%),8 (0.44)
29,"Thiessen, James",24y 214d,29 (13-0-16 44.83%),10 (0.34),22 (13-0-9 59.09%),7 (0.32)
30,"Vardy, Peter",22y 229d,47 (26-0-21 55.32%),73 (1.55),←,
Totals,Totals,25y 226d,1972 (1033-8-931 52.38%),1148 (0.58),,
C,"Blight, Malcolm",48y 208d,211 (126-0-85 59.72%),,50 (31-0-19 62.00%),
