Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
19,"Beveridge, Luke",4,,,4,,,,1.0,,,,,2.0,,,,,,,,,,
18,"Cameron, Leon",13,1,5,18,,1.0,,1.0,,,,,,1.0,,,,,,,,,
16,"Croft, Matthew",9,6,1,10,,,,,,,,,,1.0,,,,,,,,,
1,"Grgic, Ilija",9,3,4,13,2,3.0,9.0,2.0,,,,,1.0,,,,,,,,,,
29,"Griffin, Daryl",10,2,4,14,,,,1.0,,,,,1.0,1.0,,,,,,,,,
37,"Hargraves, Daniel",12,6,3,15,1,1.0,2.0,1.0,,,,,2.0,3.0,,,,,,,,,
10,"Hunter, Mark",26,4,5,31,,,,,,,,,,,,,,,,,,,
4,"Kellett, Nigel",9,2,8,17,1,1.0,,2.0,,,,,3.0,2.0,,,,,,,,,
2,"Kolyniuk, Steven",9,,3,12,2,,,,,,,,1.0,1.0,,,,,,,,,
12,"Koster, Kym",2,1,3,5,,,,4.0,,,,,,2.0,,,,,,,,,
39,"Liberatore, Tony",15,3,22,37,,,,2.0,,,,,1.0,1.0,2.0,,,,,,,,
9,"Nicholson, Brad",5,2,1,6,,,,,,,,,1.0,1.0,,,,,,,,,
44,"Osborne, Richard",16,6,2,18,5,4.0,,1.0,,,,,1.0,2.0,,,,,,,,,
22,"Quill, Peter",11,1,6,17,,,,1.0,,,,,3.0,1.0,,,,,,,,,
11,"Romero, Jose",2,1,6,8,,,,,,,,,,,,,,,,,,,
34,"Sexton, Ben",2,1,3,5,1,1.0,,,,,,,,,,,,,,,,,
5,"Smith, Rohan",10,7,6,16,,,,,,,,,,,,,,,,,,,
8,"Southern, Daniel",7,8,9,16,,,,1.0,,,,,,1.0,1.0,,,,,,,,
17,"Standfield, Barry",7,2,,7,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,
7,"West, Scott",5,,6,11,,,,1.0,,,,,,,,,,,,,,,
15,"Wynd, Scott",3,8,10,13,,,25.0,1.0,,,,,,,3.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,186,64,107,293,12,15.0,37.0,19.0,,,,,17.0,18.0,6.0,,,,,,,,
Opposition,Opposition,159,62,119,278,8,13.0,22.0,26.0,,,,,18.0,17.0,,,,,,,,,
