Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
15,"Amon, Karl",24y 215d,60 (31-0-29 51.67%),31 (0.52),←,
10,"Boak, Travis",31y 233d,265 (127-1-137 48.11%),171 (0.65),←,
3,"Burton, Ryan",23y 50d,64 (34-1-29 53.91%),9 (0.14),17 (9-0-8 52.94%),4 (0.24)
18,"Butters, Zak",19y 195d,20 (10-0-10 50.00%),13 (0.65),←,
33,"Byrne-Jones, Darcy",24y 183d,87 (46-0-41 52.87%),6 (0.07),←,
17,"Clurey, Tom",25y 364d,82 (47-0-35 57.32%),,←,
21,"Duursma, Xavier",19y 258d,21 (12-0-9 57.14%),11 (0.52),←,
7,"Ebert, Brad",29y 354d,247 (116-1-130 47.17%),130 (0.53),171 (88-1-82 51.75%),97 (0.57)
19,"Georgiades, Mitch",18y 175d,1 (1-0-0 100.00%),2 (2.00),←,
9,"Gray, Robbie",31y 357d,219 (106-0-113 48.40%),318 (1.45),←,
8,"Hartlett, Hamish",29y 220d,165 (78-1-86 47.58%),74 (0.45),←,
5,"Houston, Dan",22y 314d,61 (35-0-26 57.38%),10 (0.16),←,
1,"Jonas, Tom",29y 72d,140 (72-1-67 51.79%),1 (0.01),←,
40,"Lienert, Jarrod",25y 229d,14 (5-0-9 35.71%),,←,
29,"Lycett, Scott",27y 177d,94 (58-0-36 61.70%),51 (0.54),19 (10-0-9 52.63%),6 (0.32)
4,"Marshall, Todd",21y 165d,21 (16-0-5 76.19%),24 (1.14),←,
12,"McKenzie, Trent",27y 353d,109 (31-0-78 28.44%),22 (0.20),3 (2-0-1 66.67%),
6,"Motlop, Steven",29y 9d,171 (109-2-60 64.33%),195 (1.14),36 (19-0-17 52.78%),20 (0.56)
2,"Powell-Pepper, Sam",22y 73d,58 (34-0-24 58.62%),31 (0.53),←,
11,"Rockliff, Tom",30y 28d,191 (67-0-124 35.08%),96 (0.50),37 (21-0-16 56.76%),9 (0.24)
20,"Rozee, Connor",20y 59d,23 (12-0-11 52.17%),30 (1.30),←,
39,"Westhoff, Justin",33y 172d,269 (129-1-139 48.14%),303 (1.13),←,
Totals,Totals,25y 310d,2382 (1176-8-1198 49.37%),1528 (0.64),,
C,"Hinkley, Ken",53y 173d,160 (89-0-71 55.63%),,←,
