Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
3,"Breuer, Shayne",25y 277d,99 (59-3-37 61.11%),97 (0.98),28 (13-2-13 50.00%),20 (0.71)
6,"Cummings, Scott",24y 147d,71 (38-4-29 56.34%),179 (2.52),31 (13-2-16 45.16%),96 (3.10)
28,"Daniels, Stephen",21y 284d,18 (7-2-9 44.44%),1 (0.06),←,
37,"Dew, Stuart",18y 300d,6 (1-1-4 25.00%),,←,
19,"Dickie, Donald",26y 37d,31 (13-2-16 45.16%),8 (0.26),←,
11,"Eagleton, Nathan",19y 216d,30 (13-2-15 46.67%),25 (0.83),←,
17,"Fiegert, Nigel",22y 137d,14 (6-1-7 46.43%),4 (0.29),←,
10,"Francou, Josh",23y 311d,34 (15-2-17 47.06%),23 (0.68),←,
18,"Harwood, Mark",20y 67d,3 (0-1-2 16.67%),,←,
39,"Heuskes, Adam",22y 86d,81 (39-2-40 49.38%),6 (0.07),32 (14-2-16 46.88%),
29,"Kingsley, Adam",22y 298d,24 (12-1-11 52.08%),7 (0.29),←,
20,"Lade, Brendon",21y 339d,34 (15-2-17 47.06%),21 (0.62),←,
22,"Lockwood, Bowen",19y 348d,20 (9-1-10 47.50%),14 (0.70),←,
9,"Lyle, Brayden",25y 100d,58 (28-2-28 50.00%),10 (0.17),32 (14-2-16 46.88%),5 (0.16)
33,"Mead, Darren",27y 77d,34 (15-2-17 47.06%),2 (0.06),←,
13,"Morton, Danny",24y 348d,42 (9-1-32 22.62%),27 (0.64),12 (5-1-6 45.83%),10 (0.83)
4,"Naish, Chris",26y 260d,155 (64-2-89 41.94%),224 (1.45),12 (5-1-6 45.83%),12 (1.00)
2,"Primus, Matthew",23y 153d,50 (15-2-33 32.00%),13 (0.26),30 (14-2-14 50.00%),8 (0.27)
34,"Steinberner, Nathan",21y 95d,2 (0-1-1 25.00%),,←,
36,"Stevens, Nick",18y 162d,7 (3-1-3 50.00%),6 (0.86),←,
1,"Wanganeen, Gavin",24y 361d,156 (87-5-64 57.37%),83 (0.53),29 (14-2-13 51.72%),20 (0.69)
15,"Wilson, Michael",21y 205d,33 (15-2-16 48.48%),18 (0.55),←,
Totals,Totals,22y 326d,1002 (463-42-497 46.21%),768 (0.77),,
C,"Cahill, John",58y 48d,81 (42-2-37 53.09%),,34 (15-2-17 47.06%),
