North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
18,"Atley, Shaun",22y 260d,95 (51-0-44 53.68%),11 (0.12),←,
3,"Bastinac, Ryan",23y 343d,112 (61-0-51 54.46%),62 (0.55),←,
50,"Brown, Ben",22y 192d,18 (13-0-5 72.22%),30 (1.67),←,
10,"Cunnington, Ben",23y 335d,108 (57-0-51 52.78%),44 (0.41),←,
14,"Dumont, Trent",19y 335d,3 (1-0-2 33.33%),1 (0.33),←,
11,"Firrito, Michael",31y 185d,239 (119-2-118 50.21%),29 (0.12),←,
43,"Gibson, Sam",29y 4d,69 (40-0-29 57.97%),26 (0.38),←,
22,"Goldstein, Todd",26y 334d,134 (70-1-63 52.61%),62 (0.46),←,
6,"Hansen, Lachlan",26y 287d,121 (61-1-59 50.83%),76 (0.63),←,
29,"Harvey, Brent",37y 17d,393 (212-3-178 54.33%),463 (1.18),←,
4,"Higgins, Shaun",27y 88d,138 (62-1-75 45.29%),142 (1.03),9 (4-0-5 44.44%),14 (1.56)
34,"Macmillan, Jamie",23y 250d,69 (38-0-31 55.07%),28 (0.41),←,
21,"McDonald, Luke",20y 111d,30 (17-0-13 56.67%),,←,
28,"Nahas, Robin",27y 202d,99 (39-3-57 40.91%),118 (1.19),16 (10-0-6 62.50%),18 (1.13)
20,"Petrie, Drew",32y 228d,278 (137-3-138 49.82%),372 (1.34),←,
25,"Tarrant, Robbie",26y 36d,46 (22-0-24 47.83%),41 (0.89),←,
12,"Thomas, Lindsay",27y 92d,162 (78-2-82 48.77%),268 (1.65),←,
16,"Thompson, Scott",29y 22d,145 (68-2-75 47.59%),6 (0.04),←,
40,"Turner, Kayne",19y 151d,12 (7-0-5 58.33%),8 (0.67),←,
30,"Waite, Jarrad",32y 116d,192 (70-4-118 37.50%),268 (1.40),8 (4-0-4 50.00%),16 (2.00)
19,"Wright, Sam",24y 320d,93 (48-0-45 51.61%),55 (0.59),←,
7,"Ziebell, Jack",24y 92d,109 (53-0-56 48.62%),62 (0.57),←,
Totals,Totals,26y 115d,2665 (1324-22-1319 49.68%),2172 (0.82),,
C,"Scott, Brad",39y 28d,123 (65-0-58 52.85%),,←,
