Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
29,"Ambrose, Patrick",24y 270d,39 (16-1-22 42.31%),20 (0.51),←,
12,"Baguley, Mark",29y 7d,81 (33-1-47 41.36%),3 (0.04),←,
24,"Bird, Craig",27y 128d,144 (85-2-57 59.72%),57 (0.40),7 (0-0-7 0.00%),1 (0.14)
28,"Brown, Mitch",25y 274d,25 (14-0-11 56.00%),22 (0.88),10 (1-0-9 10.00%),13 (1.30)
17,"Cooney, Adam",30y 241d,240 (108-2-130 45.42%),199 (0.83),21 (4-0-17 19.05%),13 (0.62)
51,"Crowley, Ryan",32y 84d,195 (105-1-89 54.10%),118 (0.61),7 (1-0-6 14.29%),2 (0.29)
6,"Daniher, Joe",22y 85d,58 (21-1-36 37.07%),78 (1.34),←,
49,"Dea, Matt",24y 228d,41 (14-1-26 35.37%),1 (0.02),10 (1-0-9 10.00%),
15,"Dempsey, Courtenay",28y 274d,123 (52-3-68 43.50%),31 (0.25),←,
19,"Edwards, Shaun",22y 167d,22 (2-0-20 9.09%),10 (0.45),10 (2-0-8 20.00%),8 (0.80)
13,"Fantasia, Orazio",20y 257d,17 (3-1-13 20.59%),11 (0.65),←,
8,"Gleeson, Martin",21y 277d,39 (10-1-28 26.92%),4 (0.10),←,
9,"Goddard, Brendon",31y 8d,279 (158-4-117 57.35%),150 (0.54),74 (32-1-41 43.92%),46 (0.62)
42,"Gwilt, James",29y 291d,146 (69-3-74 48.29%),25 (0.17),20 (3-0-17 15.00%),
36,"Hartley, Michael",22y 356d,9 (1-0-8 11.11%),1 (0.11),←,
53,"Jamar, Mark",32y 293d,156 (50-3-103 33.01%),57 (0.37),1 (0-0-1 0.00%),1 (1.00)
47,"Kelly, James",32y 151d,283 (186-1-96 65.90%),89 (0.31),10 (1-0-9 10.00%),1 (0.10)
30,"Langford, Kyle",19y 179d,17 (3-0-14 17.65%),9 (0.53),←,
43,"McDonald-Tipungwuti, Anthony",23y 36d,10 (1-0-9 10.00%),,←,
7,"Merrett, Zach",20y 238d,47 (17-1-29 37.23%),19 (0.40),←,
3,"Parish, Darcy",18y 308d,9 (1-0-8 11.11%),5 (0.56),←,
11,"Zaharakis, David",26y 97d,136 (62-2-72 46.32%),101 (0.74),←,
Totals,Totals,25y 293d,2116 (1011-28-1077 47.78%),1010 (0.48),,
C,"Worsfold, John",47y 246d,291 (150-2-139 51.89%),,10 (1-0-9 10.00%),
