Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
43,"Aylett, Kurt",20y 111d,1 (0-0-1 0.00%),,←,
47,"Bruce, Josh",20y 44d,2 (0-0-2 0.00%),2 (1.00),←,
14,"Bugg, Tomas",19y 108d,14 (1-0-13 7.14%),2 (0.14),←,
24,"Clifton, Steve",25y 56d,2 (0-0-2 0.00%),,←,
1,"Davis, Phil",21y 327d,34 (12-0-22 35.29%),5 (0.15),16 (1-0-15 6.25%),4 (0.25)
4,"Folau, Israel",23y 110d,9 (1-0-8 11.11%),1 (0.11),←,
48,"Frost, Sam",18y 329d,1 (0-0-1 0.00%),1 (1.00),←,
26,"Giles, Jonathan",24y 196d,14 (1-0-13 7.14%),12 (0.86),←,
35,"Greene, Toby",18y 301d,14 (1-0-13 7.14%),5 (0.36),←,
2,"Hampton, Curtly",19y 134d,11 (0-0-11 0.00%),5 (0.45),←,
19,"Haynes, Nick",20y 65d,4 (0-0-4 0.00%),1 (0.25),←,
33,"Hoskin-Elliott, Will",18y 324d,4 (0-0-4 0.00%),2 (0.50),←,
25,"Miles, Anthony",20y 145d,2 (0-0-2 0.00%),,←,
7,"Palmer, Rhys",23y 160d,66 (22-0-44 33.33%),28 (0.42),13 (1-0-12 7.69%),5 (0.38)
6,"Power, Luke",32y 196d,296 (153-3-140 52.20%),226 (0.76),14 (1-0-13 7.14%),
9,"Scully, Tom",21y 68d,45 (14-1-30 32.22%),8 (0.18),14 (1-0-13 7.14%),2 (0.14)
31,"Townsend, Jacob",19y 32d,9 (1-0-8 11.11%),2 (0.22),←,
17,"Treloar, Adam",19y 135d,13 (1-0-12 7.69%),7 (0.54),←,
32,"Ugle, Gerald",19y 173d,1 (0-0-1 0.00%),1 (1.00),←,
8,"Ward, Callan",22y 103d,76 (33-0-43 43.42%),40 (0.53),16 (1-0-15 6.25%),7 (0.44)
42,"Whiley, Mark",19y 234d,3 (0-0-3 0.00%),,←,
16,"Wilson, Nathan",19y 197d,8 (0-0-8 0.00%),6 (0.75),←,
Totals,Totals,21y 95d,629 (240-4-385 38.16%),354 (0.56),,
C,"Sheedy, Kevin",64y 211d,650 (387-6-257 60.00%),,16 (1-0-15 6.25%),
