Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Bamford, Scott",6,1,10,16,2,1.0,,,,,,,,1.0,,,,,,,,,
5,"Barker, John",17,10,7,24,,,1.0,2.0,,,,,,1.0,,,,,,,,,
14,"Bizzotto, Frank",3,,4,7,,,,3.0,,,,,,3.0,,,,,,,,,
30,"Carter, Nick",5,2,10,15,1,1.0,,3.0,,,,,,2.0,,,,,,,,,
29,"Cassidy, Brad",12,4,4,16,1,4.0,,,,,,,,,,,,,,,,,
40,"Clayton, Shane",13,12,9,22,,,,1.0,,,,,1.0,,,,,,,,,,
31,"Dent, Matthew",19,8,8,27,,,,5.0,,,,,2.0,,,,,,,,,,
20,"Dwyer, Mick",4,2,1,5,,,,2.0,,,,,,1.0,,,,,,,,,
17,"Hawking, Simon",7,5,1,8,,,,,,,,,,,,,,,,,,,
19,"Holmes, Darren",4,1,6,10,,,,3.0,,,,,,1.0,,,,,,,,,
2,"Johnson, Chris",7,4,14,21,,1.0,,5.0,,,,,2.0,1.0,,,,,,,,,
25,"McCarthy, John",8,2,7,15,,,,2.0,,,,,2.0,1.0,,,,,,,,,
11,"McGregor, Anthony",4,2,1,5,,1.0,,,,,,,,,,,,,,,,,
3,"Mellington, Anthony",2,,3,5,1,,,1.0,,,,,1.0,3.0,,,,,,,,,
7,"Molloy, Jarrod",8,5,5,13,,,1.0,,,,,,2.0,2.0,,,,,,,,,
34,"Morton, Danny",9,4,11,20,1,,,1.0,,,,,,1.0,,,,,,,,,
4,"Paxman, Stephen",4,8,13,17,1,,2.0,5.0,,,,,1.0,,,,,,,,,,
8,"Pike, Martin",17,7,2,19,,,,3.0,,,,,,1.0,,,,,,,,,
12,"Primus, Matthew",8,4,11,19,1,,8.0,3.0,,,,,4.0,5.0,1.0,,,,,,,,
37,"Rombotis, John",8,2,10,18,1,2.0,,3.0,,,,,1.0,1.0,,,,,,,,,
33,"Warfe, Rowan",,1,5,5,,,,1.0,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,165,84,142,307,9,11.0,12.0,43.0,,,,,16.0,24.0,1.0,,,,,,,,
Opposition,Opposition,194,83,120,314,25,20.0,19.0,28.0,,,,,24.0,16.0,5.0,,,,,,,,
