Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
7,"Adcock, Jed",17,6,6,23,,,,4.0,6.0,3.0,2.0,1.0,1.0,,,3.0,14.0,,,1.0,1.0,,89.0
8 ↓,"Bewick, Rohan",1,,6,7,1,,,,,,,1.0,1.0,1.0,,4.0,3.0,,,,,,67.0
41,"Golby, Mitch",13,2,10,23,1,,,5.0,5.0,3.0,2.0,2.0,2.0,1.0,,8.0,14.0,,,1.0,1.0,,91.0
6 ↑,"Green, Josh",4,2,1,5,2,,,,,1.0,,,1.0,,,2.0,3.0,,1.0,,,1.0,24.0
11,"Hanley, Pearce",12,5,8,20,,1.0,,2.0,4.0,4.0,1.0,3.0,1.0,2.0,,5.0,15.0,,,,1.0,3.0,87.0
2,"Harwood, Ryan",9,5,8,17,,,,5.0,1.0,1.0,1.0,1.0,1.0,,,5.0,12.0,,,2.0,,,81.0
35,"Lester, Ryan",9,1,9,18,2,,,3.0,2.0,2.0,3.0,3.0,3.0,2.0,,7.0,12.0,,,,1.0,,81.0
23,"Leuenberger, Matthew",4,1,6,10,,,31.0,2.0,1.0,,2.0,6.0,1.0,5.0,,4.0,7.0,,,3.0,,,77.0
19,"Lisle, Jordan",6,5,4,10,3,1.0,,1.0,,2.0,,1.0,1.0,,,9.0,3.0,4.0,4.0,3.0,,1.0,94.0
36,"Maguire, Matt",9,8,5,14,,,,1.0,7.0,1.0,1.0,2.0,1.0,2.0,,3.0,9.0,,,4.0,,,96.0
32,"Mayes, Sam",9,3,4,13,,,,5.0,,3.0,1.0,2.0,,1.0,,2.0,11.0,1.0,,,1.0,1.0,82.0
9,"McGrath, Ashley",11,3,1,12,6,1.0,,1.0,,2.0,1.0,,,,1.0,5.0,7.0,,2.0,1.0,,1.0,79.0
46,"Michael, Sam",4,4,6,10,,,11.0,3.0,1.0,1.0,1.0,1.0,2.0,,,5.0,5.0,1.0,,2.0,,,87.0
3,"Moloney, Brent",3,2,16,19,,,,9.0,,1.0,5.0,2.0,,1.0,,11.0,7.0,,,,,,74.0
24,"Patfull, Joel",10,4,4,14,,,,4.0,3.0,,1.0,1.0,,1.0,,5.0,8.0,,,8.0,,,93.0
29,"Raines, Andrew",7,3,14,21,,1.0,,1.0,,2.0,3.0,1.0,1.0,1.0,,3.0,17.0,,,1.0,2.0,,74.0
30,"Redden, Jack",11,5,13,24,,1.0,1.0,5.0,2.0,2.0,3.0,1.0,3.0,,,9.0,16.0,,1.0,2.0,,1.0,80.0
10,"Rich, Daniel",12,3,11,23,,,,2.0,3.0,6.0,5.0,1.0,,,,5.0,15.0,,,1.0,,2.0,83.0
38,"Rockliff, Tom",15,9,22,37,,,,6.0,5.0,3.0,6.0,3.0,,,3.0,9.0,24.0,1.0,,,,3.0,84.0
14,"Staker, Brent",6,3,4,10,,1.0,,1.0,,3.0,,4.0,1.0,2.0,,5.0,5.0,2.0,2.0,2.0,,,91.0
26,"Yeo, Elliot",9,6,5,14,,,,2.0,3.0,2.0,,1.0,,,,1.0,10.0,1.0,,3.0,,,95.0
15,"Zorko, Dayne",5,3,12,17,2,2.0,,8.0,,2.0,1.0,2.0,,2.0,,9.0,7.0,1.0,3.0,1.0,,,89.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,186,83,175,361,17,9.0,43.0,70.0,43.0,44.0,39.0,39.0,20.0,21.0,4.0,119.0,224.0,11.0,13.0,35.0,7.0,13.0,
Opposition,Opposition,197,76,181,378,15,22.0,46.0,53.0,23.0,61.0,46.0,53.0,21.0,20.0,2.0,155.0,223.0,10.0,10.0,31.0,5.0,9.0,
