Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
31,"Alexander, Colin",21y 351d,26 (14-0-12 53.85%),29 (1.12),2 (0-0-2 0.00%),1 (0.50)
10,"Ashcroft, Marcus",20y 185d,47 (9-0-38 19.15%),19 (0.40),←,
22,"Bain, David",25y 331d,61 (13-0-48 21.31%),37 (0.61),←,
25,"Campbell, Matthew",28y 58d,63 (14-0-49 22.22%),21 (0.33),←,
1,"Champion, Richard",23y 349d,20 (2-0-18 10.00%),8 (0.40),←,
12,"Clarke, Troy",22y 294d,14 (1-0-13 7.14%),7 (0.50),←,
2,"Curran, Peter",29y 257d,123 (84-0-39 68.29%),204 (1.66),14 (3-0-11 21.43%),8 (0.57)
4,"Gastev, John",27y 230d,92 (31-0-61 33.70%),63 (0.68),62 (14-0-48 22.58%),32 (0.52)
32,"Hart, Shaun",20y 316d,18 (4-0-14 22.22%),3 (0.17),←,
11,"Hutton, John",25y 307d,2 (0-0-2 0.00%),4 (2.00),←,
16,"Luhrs, Simon",21y 284d,8 (0-0-8 0.00%),,←,
19,"McLean, Michael",27y 25d,119 (50-2-67 42.86%),34 (0.29),24 (3-0-21 12.50%),11 (0.46)
40,"McLuckie, Steven",19y 45d,1 (0-0-1 0.00%),4 (4.00),←,
24,"Merrett, Roger",31y 344d,229 (116-2-111 51.09%),251 (1.10),80 (19-0-61 23.75%),103 (1.29)
26,"Noonan, Danny",23y 120d,19 (2-0-17 10.53%),7 (0.37),←,
5,"Owen, Rod",25y 57d,71 (21-0-50 29.58%),124 (1.75),2 (0-0-2 0.00%),2 (1.00)
44,"Palfreyman, Nigel",18y 178d,2 (0-0-2 0.00%),,←,
30,"Ryan, Matthew",24y 300d,73 (24-1-48 33.56%),60 (0.82),18 (3-0-15 16.67%),8 (0.44)
23,"Schache, Laurence",24y 163d,19 (3-0-16 15.79%),49 (2.58),←,
33,"White, Darryl",18y 290d,2 (0-0-2 0.00%),,←,
Totals,Totals,24y 42d,1009 (388-5-616 38.45%),924 (0.92),,
C,"Walls, Robert",41y 251d,223 (118-1-104 53.14%),,24 (3-0-21 12.50%),
