Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
18,"Bartlett, Trent",23y 260d,60 (29-2-29 50.00%),28 (0.47),21 (11-0-10 52.38%),20 (0.95)
17,"Brown, Nathan",22y 184d,71 (42-1-28 59.86%),61 (0.86),←,
19,"Contessa, Adam",23y 227d,38 (23-1-14 61.84%),7 (0.18),←,
26,"Cox, Simon",23y 200d,42 (20-0-22 47.62%),16 (0.38),←,
16,"Croft, Matthew",27y 168d,129 (75-3-51 59.30%),47 (0.36),←,
11,"Curley, Todd",27y 211d,101 (53-2-46 53.47%),41 (0.41),98 (51-2-45 53.06%),40 (0.41)
14,"Darcy, Luke",25y 31d,112 (61-2-49 55.36%),78 (0.70),←,
10,"Eagleton, Nathan",21y 276d,79 (38-2-39 49.37%),67 (0.85),23 (12-0-11 52.17%),22 (0.96)
4,"Garlick, Simon",25y 124d,113 (65-1-47 57.96%),84 (0.74),69 (41-1-27 60.14%),57 (0.83)
3,"Grant, Chris",27y 243d,230 (124-4-102 54.78%),433 (1.88),←,
9,"Hudson, Paul",30y 23d,220 (132-1-87 60.23%),440 (2.00),86 (52-1-33 61.05%),176 (2.05)
25,"Hunter, Kingsley",25y 77d,58 (22-0-36 37.93%),90 (1.55),17 (8-0-9 47.06%),4 (0.24)
6,"Johnson, Brad",24y 25d,145 (77-3-65 54.14%),134 (0.92),←,
2,"Kolyniuk, Steven",30y 38d,177 (92-1-84 52.26%),198 (1.12),←,
35,"Kretiuk, Steven",28y 39d,129 (75-2-52 58.91%),10 (0.08),←,
39,"Liberatore, Tony",34y 183d,250 (135-3-112 54.60%),94 (0.38),←,
13,"Mahoney, Josh",22y 286d,30 (10-0-20 33.33%),10 (0.33),11 (4-0-7 36.36%),2 (0.18)
30,"Robbins, Matthew",23y 96d,30 (18-1-11 61.67%),8 (0.27),23 (14-1-8 63.04%),8 (0.35)
36,"Romero, Jose",29y 11d,203 (106-1-96 52.46%),167 (0.82),114 (57-1-56 50.44%),69 (0.61)
5,"Smith, Rohan",27y 73d,170 (93-3-74 55.59%),168 (0.99),←,
7,"West, Scott",25y 272d,170 (90-2-78 53.53%),64 (0.38),←,
15,"Wynd, Scott",30y 200d,237 (124-4-109 53.16%),31 (0.13),←,
Totals,Totals,26y 114d,2794 (1504-39-1251 53.83%),2276 (0.81),,
C,"Wallace, Terry",41y 243d,105 (61-1-43 58.57%),,←,
