Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
16,"Brown, Luke",20y 232d,10 (5-0-5 50.00%),,←,
32,"Dangerfield, Patrick",23y 37d,96 (50-0-46 52.08%),107 (1.11),←,
26,"Douglas, Richard",26y 95d,121 (62-0-59 51.24%),85 (0.70),←,
24,"Jacobs, Sam",25y 32d,67 (34-0-33 50.75%),16 (0.24),50 (27-0-23 54.00%),13 (0.26)
4,"Jenkins, Josh",24y 93d,18 (11-0-7 61.11%),23 (1.28),←,
29,"Kerridge, Sam",20y 16d,5 (2-0-3 40.00%),6 (1.20),←,
46,"Laird, Rory",19y 134d,3 (2-0-1 66.67%),,←,
27,"Lynch, Tom",22y 239d,16 (11-0-5 68.75%),23 (1.44),10 (7-0-3 70.00%),19 (1.90)
31,"Lyons, Jarryd",20y 294d,5 (4-0-1 80.00%),1 (0.20),←,
14,"Mackay, David",24y 291d,93 (55-0-38 59.14%),27 (0.29),←,
35,"McKernan, Shaun",22y 253d,25 (10-0-15 40.00%),14 (0.56),←,
22,"Otten, Andy",23y 362d,54 (28-0-26 51.85%),7 (0.13),←,
40,"Porplyzia, Jason",28y 166d,116 (70-0-46 60.34%),169 (1.46),←,
3,"Reilly, Brent",29y 181d,188 (103-0-85 54.79%),52 (0.28),←,
25,"Rutten, Ben",29y 349d,201 (116-0-85 57.71%),8 (0.04),←,
9,"Sloane, Rory",23y 56d,64 (34-0-30 53.13%),41 (0.64),←,
33,"Smith, Brodie",21y 118d,39 (23-0-16 58.97%),8 (0.21),←,
12,"Talia, Daniel",21y 222d,39 (24-0-15 61.54%),2 (0.05),←,
5,"Thompson, Scott",30y 59d,230 (128-0-102 55.65%),141 (0.61),191 (110-0-81 57.59%),124 (0.65)
7,"van Berlo, Nathan",26y 340d,167 (96-0-71 57.49%),57 (0.34),←,
17,"Vince, Bernie",27y 222d,114 (61-0-53 53.51%),71 (0.62),←,
11,"Wright, Matthew",23y 149d,48 (25-0-23 52.08%),33 (0.69),←,
Totals,Totals,24y 129d,1719 (954-0-765 55.50%),891 (0.52),,
C,"Sanderson, Brenton",39y 74d,32 (21-0-11 65.63%),,←,
