Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
18,"Cameron, Jeremy",25y 357d,131 (55-3-73 43.13%),331 (2.53),←,
3,"Coniglio, Stephen",25y 99d,119 (55-1-63 46.64%),66 (0.55),←,
16,"Daniels, Brent",20y 15d,8 (6-0-2 75.00%),4 (0.50),←,
1,"Davis, Phil",28y 206d,144 (70-3-71 49.65%),6 (0.04),126 (59-3-64 48.02%),5 (0.04)
24,"de Boer, Matt",29y 14d,169 (97-4-68 58.58%),70 (0.41),31 (19-3-9 66.13%),22 (0.71)
7,"Deledio, Brett",31y 340d,262 (123-6-133 48.09%),191 (0.73),19 (13-1-5 71.05%),9 (0.47)
31,"Finlayson, Jeremy",23y 43d,16 (7-2-7 50.00%),4 (0.25),←,
4,"Greene, Toby",25y 180d,127 (54-1-72 42.91%),140 (1.10),←,
27,"Himmelberg, Harry",22y 320d,41 (27-1-13 67.07%),39 (0.95),←,
2,"Hopper, Jacob",22y 46d,45 (29-1-15 65.56%),19 (0.42),←,
25,"Keeffe, Lachlan",28y 344d,49 (28-0-21 57.14%),11 (0.22),9 (3-0-6 33.33%),4 (0.44)
40,"Kennedy, Adam",26y 255d,93 (33-0-60 35.48%),8 (0.09),←,
38,"Lloyd, Daniel",27y 34d,22 (12-3-7 61.36%),17 (0.77),←,
36,"Perryman, Harry",20y 95d,18 (8-1-9 47.22%),2 (0.11),←,
50,"Reid, Sam",29y 137d,65 (36-3-26 57.69%),26 (0.40),55 (30-3-22 57.27%),25 (0.45)
23,"Shaw, Heath",33y 117d,283 (173-5-105 62.01%),39 (0.14),110 (63-3-44 58.64%),2 (0.02)
26,"Simpson, Dawson",30y 35d,40 (29-1-10 73.75%),4 (0.10),12 (10-1-1 87.50%),
14,"Taranto, Tim",21y 55d,38 (24-1-13 64.47%),15 (0.39),←,
15,"Taylor, Sam",19y 323d,9 (8-0-1 88.89%),,←,
20,"Tomlinson, Adam",25y 226d,116 (47-3-66 41.81%),31 (0.27),←,
6,"Whitfield, Lachie",24y 249d,115 (53-3-59 47.39%),49 (0.43),←,
29,"Williams, Zac",24y 185d,79 (41-0-38 51.90%),20 (0.25),←,
Totals,Totals,25y 267d,1989 (1015-42-932 51.03%),1092 (0.55),,
C,"Cameron, Leon",46y 203d,118 (64-3-51 55.51%),,←,
