Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
19,"Bishop, Matthew",28y 58d,88 (54-1-33 61.93%),6 (0.07),70 (47-1-22 67.86%),2 (0.03)
20,"Brogan, Dean",24y 267d,29 (23-0-6 79.31%),8 (0.28),←,
7,"Burgoyne, Peter",25y 221d,130 (73-2-55 56.92%),147 (1.13),←,
8,"Burgoyne, Shaun",20y 321d,40 (33-0-7 82.50%),61 (1.52),←,
9,"Carr, Josh",23y 131d,84 (59-1-24 70.83%),48 (0.57),←,
26,"Cochrane, Stuart",25y 49d,70 (38-0-32 54.29%),14 (0.20),20 (15-0-5 75.00%),3 (0.15)
35,"Cornes, Chad",23y 299d,96 (60-1-35 63.02%),105 (1.09),←,
18,"Cornes, Kane",20y 245d,42 (31-0-11 73.81%),16 (0.38),←,
17,"Dew, Stuart",24y 20d,112 (63-2-47 57.14%),173 (1.54),←,
34,"Guerra, Brent",21y 101d,65 (47-0-18 72.31%),39 (0.60),←,
11,"Hardwick, Damien",31y 20d,191 (130-1-60 68.32%),13 (0.07),38 (29-0-9 76.32%),
29,"Kingsley, Adam",28y 18d,123 (69-2-52 56.91%),25 (0.20),←,
5,"Lade, Brendon",27y 59d,98 (55-2-41 57.14%),68 (0.69),←,
3,"Montgomery, Brett",30y 98d,147 (94-2-51 64.63%),91 (0.62),87 (54-1-32 62.64%),37 (0.43)
14,"Paxman, Stephen",32y 277d,238 (97-2-139 41.18%),38 (0.16),136 (75-2-59 55.88%),20 (0.15)
15,"Pickett, Byron",26y 27d,143 (92-0-51 64.34%),121 (0.85),23 (18-0-5 78.26%),40 (1.74)
6,"Schofield, Jarrad",28y 220d,167 (103-1-63 61.98%),112 (0.67),104 (64-1-39 62.02%),78 (0.75)
36,"Stevens, Nick",23y 247d,125 (73-2-50 59.20%),78 (0.62),←,
16,"Tredrea, Warren",24y 257d,128 (75-1-52 58.98%),258 (2.02),←,
2,"Wakelin, Darryl",29y 27d,177 (98-1-78 55.65%),11 (0.06),62 (45-0-17 72.58%),3 (0.05)
4,"Wanganeen, Gavin",30y 81d,255 (150-5-100 59.80%),164 (0.64),128 (77-2-49 60.94%),101 (0.79)
21,"Wilson, Michael",26y 290d,111 (56-3-52 51.80%),33 (0.30),←,
Totals,Totals,26y 68d,2659 (1573-29-1057 59.16%),1629 (0.61),,
C,"Williams, Mark",45y 17d,116 (71-1-44 61.64%),,←,
