Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
4,"Ah Chee, Callum",26y 160d,119 (63-0-56 52.94%),49 (0.41),74 (55-0-19 74.32%),25 (0.34)
31,"Andrews, Harris",27y 97d,188 (89-0-99 47.34%),11 (0.06),←,
43,"Answerth, Noah",24y 224d,56 (39-0-17 69.64%),2 (0.04),←,
33,"Bailey, Zac",24y 176d,120 (78-0-42 65.00%),124 (1.03),←,
7,"Berry, Jarrod",26y 41d,135 (75-0-60 55.56%),58 (0.43),←,
23,"Cameron, Charlie",29y 256d,204 (130-1-73 63.97%),362 (1.77),131 (83-0-48 63.36%),275 (2.10)
3,"Daniher, Joe",30y 13d,179 (87-1-91 48.88%),341 (1.91),71 (47-0-24 66.20%),150 (2.11)
5,"Dunkley, Josh",27y 68d,142 (83-0-59 58.45%),67 (0.47),26 (18-0-8 69.23%),2 (0.08)
28,"Fletcher, Jaspa",20y 22d,16 (11-0-5 68.75%),8 (0.50),←,
27,"Gardiner, Darcy",28y 177d,160 (73-0-87 45.63%),5 (0.03),←,
30,"Hipwood, Eric",26y 186d,155 (82-0-73 52.90%),233 (1.50),←,
35,"Lester, Ryan",31y 204d,182 (81-0-101 44.51%),47 (0.26),←,
1,"Lohmann, Kai",20y 316d,10 (7-0-3 70.00%),1 (0.10),←,
17,"Lyons, Jarryd",31y 239d,193 (113-0-80 58.55%),86 (0.45),101 (69-0-32 68.32%),37 (0.37)
11,"McCarthy, Lincoln",30y 147d,145 (101-0-44 69.66%),162 (1.12),116 (78-0-38 67.24%),137 (1.18)
6,"McCluggage, Hugh",26y 14d,157 (88-0-69 56.05%),98 (0.62),←,
46,"McInerney, Oscar",29y 251d,128 (80-0-48 62.50%),54 (0.42),←,
26,"McKenna, Conor",27y 355d,106 (54-1-51 51.42%),27 (0.25),27 (19-0-8 70.37%),7 (0.26)
16,"Rayner, Cam",24y 148d,115 (69-0-46 60.00%),105 (0.91),←,
2,"Robertson, Deven",22y 261d,42 (27-0-15 64.29%),10 (0.24),←,
37,"Starcevich, Brandon",24y 237d,99 (67-0-32 67.68%),6 (0.06),←,
44,"Wilmot, Darcy",20y 77d,31 (21-0-10 67.74%),6 (0.19),←,
15,"Zorko, Dayne",35y 37d,252 (116-0-136 46.03%),227 (0.90),←,
Totals,Totals,26y 288d,2934 (1634-3-1297 55.69%),2089 (0.71),,
C,"Fagan, Chris",62y 268d,164 (92-0-72 56.10%),,←,
