St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Baker, Steven",4,4,7,11,,,,2.0,1.0,1.0,2.0,3.0,,1.0,,5.0,6.0,1.0,,4.0,1.0,,73.0
14,"Ball, Luke",12,4,9,21,1,,1.0,3.0,1.0,4.0,4.0,3.0,1.0,1.0,,10.0,10.0,1.0,,3.0,1.0,,83.0
6,"Black, Heath",9,5,10,19,1,1.0,,1.0,1.0,3.0,2.0,2.0,1.0,2.0,,12.0,8.0,2.0,1.0,4.0,,3.0,90.0
27,"Blake, Jason",1,2,1,2,,,1.0,2.0,,,,,,,,,2.0,,,2.0,,1.0,5.0
26,"Dal Santo, Nick",7,4,8,15,,1.0,3.0,3.0,1.0,2.0,2.0,,,,2.0,5.0,11.0,1.0,,4.0,3.0,,94.0
9,"Gehrig, Fraser",10,7,,10,5,2.0,,,,4.0,,2.0,2.0,1.0,,5.0,5.0,2.0,4.0,2.0,,1.0,100.0
18,"Goddard, Brendon",5,2,5,10,,,,3.0,1.0,3.0,,1.0,,,,3.0,7.0,,,2.0,1.0,1.0,92.0
2,"Hamill, Aaron",3,2,3,6,1,,,4.0,,1.0,1.0,2.0,,1.0,,2.0,4.0,,1.0,,,,96.0
35,"Harvey, Robert",17,6,11,28,1,,,1.0,4.0,5.0,5.0,4.0,1.0,1.0,1.0,9.0,19.0,,1.0,3.0,,,92.0
7,"Hayes, Lenny",9,1,11,20,,1.0,,1.0,,3.0,3.0,1.0,,1.0,,6.0,14.0,,,2.0,3.0,,89.0
5,"Jones, Austinn",11,2,2,13,,,,1.0,5.0,3.0,1.0,1.0,,,,1.0,12.0,,,1.0,4.0,1.0,100.0
33,"Knobel, Trent",1,2,6,7,,,13.0,2.0,,,,4.0,,1.0,,3.0,4.0,,,5.0,,,63.0
23,"Koschitzke, Justin",4,7,5,9,,,10.0,1.0,,3.0,,3.0,,1.0,,3.0,7.0,1.0,1.0,5.0,,,72.0
31,"Maguire, Matt",7,3,5,12,,,,,1.0,3.0,1.0,1.0,1.0,,,5.0,8.0,1.0,,8.0,1.0,,100.0
44,"Milne, Stephen",7,6,1,8,,4.0,,2.0,,,1.0,,,,,1.0,7.0,,4.0,1.0,,,69.0
1,"Peckett, Justin",8,4,6,14,,,,6.0,1.0,3.0,1.0,,,,,2.0,11.0,,,2.0,2.0,,96.0
19,"Penny, Luke",6,3,1,7,,,,2.0,1.0,,,1.0,,1.0,,5.0,2.0,2.0,,2.0,,,100.0
17,"Powell, Stephen",13,3,13,26,2,,,2.0,,6.0,5.0,3.0,,1.0,,9.0,17.0,,1.0,3.0,,,86.0
12,"Riewoldt, Nick",14,10,3,17,4,2.0,2.0,,,4.0,,1.0,1.0,,3.0,4.0,13.0,1.0,5.0,7.0,2.0,,99.0
40,"Schwarze, Troy",3,1,,3,,,,3.0,,3.0,,1.0,,,,,3.0,,,3.0,,,53.0
4,"Thompson, Andrew",3,1,5,8,1,1.0,1.0,1.0,,3.0,1.0,1.0,,1.0,,2.0,6.0,,,1.0,,,55.0
13,"Voss, Brett",8,6,7,15,,,,3.0,2.0,1.0,1.0,2.0,,,,7.0,8.0,2.0,,4.0,,,93.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,6.0,,,,,,,,,,,,,,,,,
Totals,Totals,162,85,119,281,16,18.0,31.0,43.0,19.0,55.0,30.0,36.0,7.0,13.0,6.0,99.0,184.0,14.0,18.0,68.0,18.0,7.0,
Opposition,Opposition,166,99,90,256,10,9.0,46.0,39.0,39.0,32.0,23.0,25.0,13.0,7.0,,82.0,176.0,8.0,16.0,44.0,11.0,9.0,
