Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
4,"Bontempelli, Marcus",18,3,18,36,3,,,2.0,,11.0,7.0,4.0,1.0,2.0,3.0,15.0,21.0,,,2.0,,4.0,82.0
29,"Bramble, Lachlan",16,9,7,23,1,,,1.0,1.0,4.0,,2.0,1.0,2.0,,4.0,17.0,1.0,1.0,1.0,1.0,,83.0
17,"Coffield, Nick",11,10,5,16,,,,,3.0,3.0,,2.0,1.0,,,2.0,13.0,,,1.0,,,81.0
31,"Dale, Bailey",19,7,4,23,,,,1.0,6.0,1.0,1.0,5.0,,1.0,,3.0,16.0,,,,1.0,1.0,74.0
10,"Darcy, Sam",11,8,8,19,5,2.0,4.0,1.0,,1.0,2.0,2.0,1.0,,2.0,8.0,11.0,2.0,6.0,2.0,,1.0,82.0
42,"Davidson, Sam",18,9,9,27,1,,,2.0,2.0,5.0,,3.0,1.0,2.0,,2.0,23.0,,,2.0,,,88.0
26,"Dolan, Josh",1,,7,8,,,,2.0,,,,,,,,3.0,5.0,,,1.0,,,74.0
44,"English, Tim",15,9,9,24,2,,28.0,1.0,,2.0,6.0,3.0,4.0,,,9.0,14.0,,2.0,2.0,1.0,2.0,85.0
27,"Freijah, Joel",11,3,7,18,,1.0,,2.0,1.0,3.0,5.0,2.0,,2.0,,5.0,10.0,,,2.0,,2.0,85.0
22,"Harmes, James",6,3,7,13,,1.0,,1.0,1.0,,,,,,,2.0,11.0,,,,,,86.0
6,"Hynes, Cooper",4,2,6,10,2,,,3.0,,2.0,,3.0,,1.0,,2.0,8.0,,,,,,77.0
8,"Kennedy, Matthew",14,7,11,25,,,,7.0,3.0,7.0,3.0,5.0,4.0,1.0,,7.0,20.0,,,,1.0,2.0,84.0
24 ↑,"Khamis, Buku",3,3,3,6,1,,,,,,,1.0,,,,3.0,2.0,1.0,1.0,,,,47.0
21,"Liberatore, Tom",11,5,16,27,,,,2.0,3.0,4.0,2.0,1.0,1.0,,,11.0,16.0,,,,,1.0,80.0
7,"Lobb, Rory",16,13,5,21,,,,1.0,5.0,,,4.0,3.0,1.0,1.0,7.0,14.0,1.0,,12.0,1.0,,100.0
30,"McNeil, Lachlan",7,1,7,14,2,1.0,,1.0,,1.0,1.0,,2.0,,,6.0,8.0,,1.0,,,,76.0
33,"Naughton, Aaron",4,2,4,8,1,1.0,,2.0,,1.0,1.0,5.0,,3.0,,6.0,3.0,2.0,1.0,1.0,,2.0,87.0
18,"ODonnell, James",4,5,3,7,,,,,,,,,,,,2.0,5.0,1.0,,2.0,,,63.0
20,"Richards, Ed",13,2,14,27,1,1.0,,4.0,1.0,5.0,7.0,4.0,2.0,2.0,,13.0,16.0,,,2.0,,2.0,84.0
1 ↓,"Treloar, Adam",5,2,5,10,,,,1.0,1.0,2.0,1.0,2.0,,,,1.0,9.0,,,,,,31.0
23,"Vandermeer, Laitham",6,4,5,11,,,,1.0,,4.0,,2.0,1.0,1.0,,4.0,8.0,,1.0,3.0,1.0,,72.0
14,"West, Rhylee",10,6,8,18,2,1.0,,3.0,,1.0,2.0,3.0,1.0,2.0,,7.0,11.0,1.0,4.0,1.0,,,83.0
34,"Williams, Bailey",16,15,9,25,,,,2.0,3.0,2.0,,3.0,,2.0,,3.0,23.0,,,1.0,,1.0,94.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,239,128,177,416,21,9.0,32.0,40.0,30.0,59.0,38.0,56.0,23.0,22.0,6.0,125.0,284.0,9.0,17.0,35.0,6.0,18.0,
Opposition,Opposition,172,74,137,309,8,8.0,32.0,56.0,37.0,38.0,28.0,68.0,22.0,23.0,,117.0,186.0,10.0,14.0,41.0,8.0,5.0,
