Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
27,"Chapman, Wade",20y 102d,23 (5-0-18 21.74%),6 (0.26),←,
8,"Cresswell, Daryn",24y 328d,72 (13-0-59 18.06%),65 (0.90),←,
18,"Direen, Scott",23y 177d,40 (11-0-29 27.50%),9 (0.22),←,
6,"Dunkley, Andrew",27y 290d,78 (16-1-61 21.15%),7 (0.09),←,
12,"Dyson, Kevin",28y 346d,73 (36-0-37 49.32%),25 (0.34),3 (1-0-2 33.33%),
10,"Filandia, Peter",25y 336d,36 (12-0-24 33.33%),35 (0.97),23 (5-0-18 21.74%),21 (0.91)
9,"Grant, Shannon",18y 361d,13 (3-0-10 23.08%),9 (0.69),←,
25,"Gray, Troy",23y 48d,48 (11-1-36 23.96%),23 (0.48),←,
39,"Heuskes, Adam",20y 25d,30 (10-0-20 33.33%),4 (0.13),←,
14,"Kelly, Paul",26y 261d,115 (24-2-89 21.74%),70 (0.61),←,
24,"Kickett, Derek",33y 191d,130 (64-1-65 49.62%),161 (1.24),41 (12-0-29 29.27%),55 (1.34)
3,"Lewis, Dale",26y 346d,103 (22-2-79 22.33%),112 (1.09),←,
4,"Lockett, Tony",30y 36d,205 (77-0-128 37.56%),1021 (4.98),22 (9-0-13 40.91%),123 (5.59)
34,"Luff, Troy",26y 144d,43 (9-1-33 22.09%),33 (0.77),←,
11,"Maxfield, Stuart",24y 5d,92 (36-1-55 39.67%),66 (0.72),3 (1-0-2 33.33%),1 (0.33)
36,"Nicks, Matthew",20y 337d,1 (1-0-0 100.00%),,←,
5,"OBrien, Craig",26y 42d,76 (36-1-39 48.03%),133 (1.75),3 (1-0-2 33.33%),1 (0.33)
19,"OLoughlin, Michael",19y 54d,14 (4-0-10 28.57%),14 (1.00),←,
16,"Rocca, Anthony",18y 243d,15 (5-0-10 33.33%),9 (0.60),←,
7,"Seymour, Brad",19y 347d,19 (3-0-16 15.79%),1 (0.05),←,
15,"Stafford, Greg",21y 231d,20 (2-0-18 10.00%),4 (0.20),←,
Totals,Totals,24y 63d,1246 (400-10-836 32.10%),1807 (1.45),,
C,"Eade, Rodney",38y 10d,3 (1-0-2 33.33%),,←,
