Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
21,"Christian, Michael",28y 260d,106 (58-2-46 55.66%),21 (0.20),←,
2,"Francis, Tony",24y 37d,64 (42-2-20 67.19%),44 (0.69),←,
47,"Fraser, Mark",22y 93d,20 (15-0-5 75.00%),11 (0.55),←,
3,"Gayfer, Michael",27y 264d,137 (85-1-51 62.41%),1 (0.01),←,
23,"Kelly, Craig",26y 326d,68 (43-2-23 64.71%),32 (0.47),←,
34,"McGuane, Mick",25y 130d,99 (63-2-34 64.65%),69 (0.70),←,
1,"Monkhorst, Damian",23y 260d,82 (55-2-25 68.29%),12 (0.15),←,
7,"Morwood, Shane",31y 158d,201 (121-3-77 60.95%),117 (0.58),184 (112-3-69 61.68%),104 (0.57)
4,"Pert, Gary",27y 345d,192 (98-0-94 51.04%),45 (0.23),29 (21-0-8 72.41%),3 (0.10)
13,"Richardson, Alan",27y 356d,63 (40-2-21 65.08%),10 (0.16),←,
36,"Rocca, Saverio",19y 169d,16 (13-0-3 81.25%),51 (3.19),←,
32,"Rowe, Brad",23y 166d,32 (16-0-16 50.00%),28 (0.88),18 (13-0-5 72.22%),19 (1.06)
29,"Russell, Scott",23y 1d,77 (52-2-23 68.83%),55 (0.71),←,
31,"Saunders, Darren",27y 265d,42 (27-0-15 64.29%),1 (0.02),36 (24-0-12 66.67%),1 (0.03)
22,"Shaw, Tony",32y 289d,284 (163-3-118 57.92%),151 (0.53),←,
27,"Starcevich, Craig",25y 357d,113 (70-3-40 63.27%),142 (1.26),←,
24,"Turner, Jamie",30y 269d,159 (92-3-64 58.81%),33 (0.21),←,
14,"Watson, Shane",19y 80d,17 (11-0-6 64.71%),26 (1.53),←,
10,"Williams, Paul",20y 35d,38 (25-0-13 65.79%),38 (1.00),←,
19,"Wright, Graham",24y 336d,101 (69-2-30 69.31%),82 (0.81),←,
Totals,Totals,25y 246d,1911 (1158-29-724 60.60%),969 (0.51),,
C,"Matthews, Leigh",41y 68d,165 (99-3-63 60.91%),,←,
