North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
13,"Adams, Leigh",26y 69d,94 (48-1-45 51.60%),69 (0.73),←,
4,"Anthony, Liam",26y 278d,57 (26-1-30 46.49%),27 (0.47),←,
18,"Atley, Shaun",21y 274d,73 (38-0-35 52.05%),8 (0.11),←,
3,"Bastinac, Ryan",22y 357d,91 (49-0-42 53.85%),50 (0.55),←,
35,"Black, Aaron",23y 197d,34 (19-0-15 55.88%),52 (1.53),←,
10,"Cunnington, Ben",22y 349d,86 (44-0-42 51.16%),31 (0.36),←,
15,"Dal Santo, Nick",30y 112d,272 (152-5-115 56.80%),143 (0.53),12 (7-0-5 58.33%),3 (0.25)
11,"Firrito, Michael",30y 199d,218 (107-2-109 49.54%),28 (0.13),←,
43,"Gibson, Sam",28y 18d,47 (27-0-20 57.45%),18 (0.38),←,
22,"Goldstein, Todd",25y 348d,113 (58-1-54 51.77%),53 (0.47),←,
24,"Greenwood, Levi",25y 115d,63 (33-1-29 53.17%),16 (0.25),←,
6,"Hansen, Lachlan",25y 301d,111 (55-1-55 50.00%),76 (0.68),←,
29,"Harvey, Brent",36y 31d,374 (202-3-169 54.41%),446 (1.19),←,
21,"McDonald, Luke",19y 125d,12 (7-0-5 58.33%),,←,
41,"Mullett, Aaron",22y 111d,41 (22-0-19 53.66%),22 (0.54),←,
28,"Nahas, Robin",26y 216d,90 (34-3-53 39.44%),106 (1.18),7 (5-0-2 71.43%),6 (0.86)
20,"Petrie, Drew",31y 242d,256 (124-3-129 49.02%),326 (1.27),←,
9,"Swallow, Andrew",27y 12d,151 (71-1-79 47.35%),68 (0.45),←,
25,"Tarrant, Robbie",25y 50d,39 (19-0-20 48.72%),40 (1.03),←,
12,"Thomas, Lindsay",26y 106d,141 (66-2-73 47.52%),228 (1.62),←,
16,"Thompson, Scott",28y 36d,123 (55-2-66 45.53%),6 (0.05),←,
7,"Ziebell, Jack",23y 106d,89 (42-0-47 47.19%),44 (0.49),←,
Totals,Totals,26y 66d,2575 (1298-26-1251 50.41%),1857 (0.72),,
C,"Scott, Brad",38y 42d,101 (52-0-49 51.49%),,←,
