Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
23,"Dyson, Kevin",28y 1d,58 (29-0-29 50.00%),24 (0.41),←,
20,"Febey, Matthew",25y 259d,56 (26-0-30 46.43%),20 (0.36),←,
21,"Febey, Steven",25y 259d,139 (75-0-64 53.96%),21 (0.15),←,
22,"Hilton, Jeff",22y 343d,31 (17-0-14 54.84%),19 (0.61),25 (13-0-12 52.00%),13 (0.52)
15,"Hopgood, Paul",21y 288d,24 (14-0-10 58.33%),2 (0.08),←,
34,"Irving, Dean",28y 246d,55 (36-1-18 66.36%),12 (0.22),12 (4-0-8 33.33%),3 (0.25)
7,"Kowal, Darren",22y 321d,40 (22-0-18 55.00%),26 (0.65),←,
37,"Lamprill, Andrew",26y 1d,16 (5-0-11 31.25%),3 (0.19),←,
16,"Lovell, Andy",24y 281d,105 (50-1-54 48.10%),124 (1.18),←,
6,"Lovett, Glenn",25y 286d,81 (35-0-46 43.21%),53 (0.65),←,
9,"Neitz, David",20y 103d,50 (23-0-27 46.00%),23 (0.46),←,
25,"Norman, Luke",23y 140d,6 (0-0-6 0.00%),2 (0.33),←,
4,"Obst, Andrew",30y 259d,93 (51-0-42 54.84%),46 (0.49),←,
19,"Prymke, Paul",24y 148d,30 (13-0-17 43.33%),2 (0.07),←,
41,"Rohde, Peter",30y 167d,157 (92-1-64 58.92%),27 (0.17),111 (58-1-52 52.70%),21 (0.19)
10,"Seecamp, Marcus",22y 282d,57 (18-0-39 31.58%),12 (0.21),6 (0-0-6 0.00%),2 (0.33)
29,"Smith, Shaun",25y 317d,53 (27-1-25 51.89%),49 (0.92),6 (0-0-6 0.00%),11 (1.83)
11,"Stynes, Jim",29y 12d,184 (102-1-81 55.71%),110 (0.60),←,
2,"Tingay, Stephen",24y 265d,107 (57-0-50 53.27%),48 (0.45),←,
12,"Viney, Todd",29y 36d,147 (75-1-71 51.36%),59 (0.40),←,
27,"Wight, Sean",31y 51d,135 (72-0-63 53.33%),63 (0.47),←,
Totals,Totals,25y 333d,1624 (839-6-779 51.66%),745 (0.46),,
C,"Balme, Neil",43y 110d,51 (24-0-27 47.06%),,←,
