Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
14,"Billings, Jack",28y 275d,165 (68-1-96 41.52%),110 (0.67),10 (6-0-4 60.00%),2 (0.20)
17,"Bowey, Jake",21y 250d,50 (35-0-15 70.00%),6 (0.12),←,
50,"Brown, Ben",31y 181d,175 (98-1-76 56.29%),360 (2.06),45 (32-1-12 72.22%),73 (1.62)
37,"Chandler, Kade",24y 127d,43 (27-0-16 62.79%),33 (0.77),←,
31,"Fritsch, Bayley",27y 165d,136 (79-1-56 58.46%),236 (1.74),←,
11,"Gawn, Max",32y 141d,213 (107-1-105 50.47%),103 (0.48),←,
22,"Howes, Blake",21y 42d,10 (6-0-4 60.00%),,←,
8,"Lever, Jake",28y 75d,170 (109-1-60 64.41%),5 (0.03),114 (71-1-42 62.72%),2 (0.02)
1,"May, Steven",32y 130d,225 (103-2-120 46.22%),23 (0.10),102 (65-1-36 64.22%),2 (0.02)
23,"McAdam, Shane",28y 357d,51 (18-0-33 35.29%),73 (1.43),1 (0-0-1 0.00%),1 (1.00)
25,"McDonald, Tom",31y 244d,219 (98-1-120 44.98%),166 (0.76),←,
4,"McVee, Judd",20y 286d,35 (22-0-13 62.86%),,←,
30,"Neal-Bullen, Alex",28y 131d,163 (96-1-66 59.20%),113 (0.69),←,
13,"Oliver, Clayton",26y 302d,172 (99-1-72 57.85%),52 (0.30),←,
5,"Petracca, Christian",28y 136d,186 (106-1-79 57.26%),181 (0.97),←,
35,"Petty, Harry",24y 189d,70 (41-1-28 59.29%),21 (0.30),←,
36,"Pickett, Kysaiah",22y 352d,93 (63-1-29 68.28%),139 (1.49),←,
24,"Rivers, Trent",22y 294d,87 (60-1-26 69.54%),7 (0.08),←,
3,"Salem, Christian",28y 309d,166 (85-1-80 51.51%),26 (0.16),←,
32,"Sparrow, Tom",23y 354d,84 (55-1-28 66.07%),31 (0.37),←,
7,"Viney, Jack",30y 36d,206 (95-1-110 46.36%),60 (0.29),←,
6,"Windsor, Caleb",18y 345d,10 (6-0-4 60.00%),5 (0.50),←,
40,"Woewodin, Taj",21y 54d,12 (9-0-3 75.00%),2 (0.17),←,
Totals,Totals,26y 128d,2741 (1485-17-1239 54.18%),1752 (0.64),,
C,"Goodwin, Simon",47y 145d,170 (99-1-70 58.53%),,169 (99-1-69 58.88%),
