Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",21y 225d,42 (17-1-24 41.67%),24 (0.57),←,
18,"Cameron, Leon",17y 337d,17 (10-0-7 58.82%),7 (0.41),←,
3,"Campbell, Adrian",21y 213d,26 (11-1-14 44.23%),28 (1.08),←,
20,"Coleman, Glenn",29y 183d,141 (77-1-63 54.96%),81 (0.57),16 (9-0-7 56.25%),17 (1.06)
4,"Davies, Darren",24y 295d,36 (16-0-20 44.44%),35 (0.97),←,
26,"Del-Re, Danny",22y 174d,11 (6-0-5 54.55%),17 (1.55),←,
12,"Eppelstun, Greg",23y 262d,77 (38-1-38 50.00%),1 (0.01),←,
32,"Foster, Peter",30y 64d,124 (66-2-56 54.03%),50 (0.40),117 (63-2-52 54.70%),48 (0.41)
29,"Grant, Chris",17y 235d,18 (10-0-8 55.56%),50 (2.78),←,
7,"Hawkins, Doug",30y 92d,239 (95-3-141 40.38%),117 (0.49),←,
10,"Hunter, Mark",24y 336d,35 (14-1-20 41.43%),2 (0.06),←,
21,"Kolyniuk, Steven",20y 31d,28 (14-1-13 51.79%),27 (0.96),←,
39,"Liberatore, Tony",24y 175d,36 (21-0-15 58.33%),20 (0.56),←,
11,"McGuinness, Tony",26y 91d,105 (48-2-55 46.67%),102 (0.97),←,
14,"Reynolds, Keenan",21y 210d,14 (9-0-5 64.29%),1 (0.07),←,
33,"Royal, Brian",28y 236d,155 (81-2-72 52.90%),192 (1.24),←,
16,"Wallace, Terry",31y 235d,246 (145-2-99 59.35%),119 (0.48),61 (27-1-33 45.08%),16 (0.26)
24,"Wallis, Stephen",25y 282d,163 (83-2-78 51.53%),40 (0.25),←,
6,"Wigney, Stuart",21y 108d,37 (16-1-20 44.59%),15 (0.41),←,
15,"Wynd, Scott",20y 192d,34 (14-0-20 41.18%),6 (0.18),←,
Totals,Totals,24y 89d,1584 (791-20-773 49.94%),934 (0.59),,
C,"Wheeler, Terry",35y 145d,18 (10-0-8 55.56%),,←,
