Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
18,"Cameron, Jeremy",24y 71d,105 (41-0-64 39.05%),271 (2.58),←,
35,"Corr, Aidan",23y 25d,46 (18-0-28 39.13%),1 (0.02),←,
1,"Davis, Phil",26y 285d,108 (49-0-59 45.37%),6 (0.06),90 (38-0-52 42.22%),5 (0.06)
24,"de Boer, Matt",27y 93d,142 (81-1-60 57.39%),51 (0.36),4 (3-0-1 75.00%),3 (0.75)
4,"Greene, Toby",23y 259d,108 (42-0-66 38.89%),104 (0.96),←,
27,"Himmelberg, Harry",21y 34d,9 (7-0-2 77.78%),1 (0.11),←,
17,"Johnson, Steve",33y 342d,284 (200-3-81 70.95%),503 (1.77),31 (22-0-9 70.97%),51 (1.65)
22,"Kelly, Josh",22y 119d,72 (39-0-33 54.17%),41 (0.57),←,
15,"Kennedy, Matthew",20y 66d,11 (7-0-4 63.64%),5 (0.45),←,
41,"Mumford, Shane",30y 341d,163 (107-2-54 66.26%),48 (0.29),63 (38-0-25 60.32%),9 (0.14)
12,"Patton, Jonathon",24y 22d,65 (31-0-34 47.69%),93 (1.43),←,
36,"Perryman, Harry",18y 174d,4 (3-0-1 75.00%),1 (0.25),←,
50,"Reid, Sam",27y 216d,40 (21-0-19 52.50%),18 (0.45),30 (15-0-15 50.00%),17 (0.57)
9,"Scully, Tom",26y 27d,138 (54-1-83 39.49%),65 (0.47),107 (41-0-66 38.32%),59 (0.55)
23,"Shaw, Heath",31y 196d,249 (153-2-94 61.85%),39 (0.16),76 (43-0-33 56.58%),2 (0.03)
5,"Shiel, Dylan",24y 94d,99 (40-0-59 40.40%),54 (0.55),←,
14,"Taranto, Tim",19y 134d,11 (8-0-3 72.73%),5 (0.45),←,
20,"Tomlinson, Adam",23y 305d,79 (27-0-52 34.18%),19 (0.24),←,
8,"Ward, Callan",27y 62d,179 (77-0-102 43.02%),88 (0.49),119 (45-0-74 37.82%),55 (0.46)
6,"Whitfield, Lachie",22y 328d,77 (32-0-45 41.56%),36 (0.47),←,
29,"Williams, Zac",22y 264d,65 (33-0-32 50.77%),19 (0.29),←,
16,"Wilson, Nathan",24y 155d,64 (34-0-30 53.13%),14 (0.22),←,
Totals,Totals,24y 297d,2118 (1104-9-1005 52.12%),1482 (0.70),,
C,"Cameron, Leon",44y 282d,80 (43-0-37 53.75%),,←,
