0,1,2,3,4,5,6
←,"Round: 6 Venue: Gabba Date: Sat, 2-May-2009 7:10 PM Attendance: 29252","Round: 6 Venue: Gabba Date: Sat, 2-May-2009 7:10 PM Attendance: 29252","Round: 6 Venue: Gabba Date: Sat, 2-May-2009 7:10 PM Attendance: 29252","Round: 6 Venue: Gabba Date: Sat, 2-May-2009 7:10 PM Attendance: 29252","Round: 6 Venue: Gabba Date: Sat, 2-May-2009 7:10 PM Attendance: 29252",→
←,Brisbane Lions,5.2.32,10.2.62,12.6.78,17.9.111,→
←,Essendon,1.3.9,3.8.26,5.12.42,9.14.68,→
←,Qrt margin,BL by 23,BL by 36,BL by 36,BL by 43,→
←,Qrt scores,BL 32-9,BL 30-17,16-16,BL 33-26,→
←,Field umpires,"Brett Rosebury (154), Sam Hay (4), Michael Avon (151)","Brett Rosebury (154), Sam Hay (4), Michael Avon (151)","Brett Rosebury (154), Sam Hay (4), Michael Avon (151)","Brett Rosebury (154), Sam Hay (4), Michael Avon (151)",→
