Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",8,4,6,14,,,,4.0,4.0,1.0,,1.0,,1.0,,9.0,4.0,2.0,,1.0,4.0,,
12,"Blakey, John",14,8,8,22,,,,,10.0,,1.0,,2.0,,,8.0,14.0,,,,2.0,,
22,"Burton, Matthew",3,2,2,5,,,16.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,3.0,,,1.0,,,
23,"Clayton, Shane",5,2,3,8,2,,,,,2.0,2.0,,2.0,,,4.0,5.0,,1.0,1.0,1.0,,
45,"Cochrane, Stuart",7,1,4,11,,1.0,,2.0,1.0,4.0,1.0,,1.0,,,6.0,5.0,,,,,,
2,"Colbert, Leigh",6,3,4,10,,,1.0,1.0,,2.0,1.0,3.0,2.0,2.0,,6.0,4.0,,,3.0,,,
6,"Grant, Shannon",9,2,5,14,,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,6.0,8.0,,,2.0,1.0,,
14,"Harris, Daniel",17,,6,23,,3.0,,2.0,2.0,4.0,7.0,1.0,2.0,,,17.0,7.0,,,4.0,,,
34,"King, David",7,2,6,13,,,,,2.0,,2.0,3.0,1.0,1.0,,4.0,8.0,,,1.0,,,
35,"Makepeace, Troy",7,4,5,12,,,,2.0,1.0,2.0,3.0,1.0,,,,6.0,6.0,,,2.0,2.0,,
5,"McCartney, Jason",10,8,5,15,1,,,,1.0,4.0,2.0,,1.0,1.0,,4.0,11.0,1.0,1.0,,,,
31,"McKernan, Corey",4,2,3,7,,,3.0,,,1.0,,2.0,1.0,3.0,,5.0,2.0,1.0,,,1.0,,
44,"Motlop, Shannon",3,2,,3,,,,,,2.0,1.0,,,1.0,,1.0,3.0,,,,1.0,,
20,"Petrie, Drew",2,2,,2,,,2.0,,,,,,,,,,2.0,,,,,,
28,"Pickett, Byron",9,6,3,12,,1.0,,3.0,2.0,1.0,,,2.0,1.0,,3.0,7.0,,1.0,2.0,3.0,,
3,"Rawlings, Brady",5,2,3,8,,,,4.0,,2.0,1.0,,,1.0,,3.0,6.0,,,,,,
26,"Rocca, Saverio",10,8,2,12,5,1.0,1.0,,1.0,3.0,,1.0,1.0,,,5.0,7.0,2.0,5.0,,,,
7,"Simpson, Adam",9,2,5,14,,,,4.0,3.0,2.0,2.0,,,2.0,,6.0,8.0,,,,,,
9,"Sinclair, Jess",4,,4,8,,,,1.0,,1.0,1.0,,,,,5.0,3.0,,,,2.0,,
13,"Smith, Dylan",7,3,5,12,,1.0,,2.0,,2.0,2.0,,1.0,,,5.0,8.0,,,,,,
10,"Stevens, Anthony",20,4,4,24,,,,3.0,2.0,1.0,2.0,,,1.0,,6.0,15.0,,,,2.0,,
36,"Watt, Shannon",2,,2,4,,,,1.0,,1.0,1.0,,2.0,1.0,,2.0,2.0,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,168,67,85,253,8,10.0,23.0,31.0,31.0,38.0,31.0,13.0,19.0,16.0,,113.0,138.0,6.0,8.0,17.0,19.0,,
Opposition,Opposition,183,84,112,295,17,16.0,30.0,40.0,23.0,58.0,34.0,20.0,16.0,19.0,6.0,117.0,182.0,15.0,15.0,23.0,17.0,,
