Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
19,"Bishop, Matthew",29y 314d,120 (76-1-43 63.75%),7 (0.06),102 (69-1-32 68.14%),3 (0.03)
25,"Cassisi, Domenic",22y 241d,52 (38-1-13 74.04%),19 (0.37),←,
26,"Cochrane, Stuart",26y 305d,99 (55-1-43 56.06%),17 (0.17),49 (32-1-16 66.33%),6 (0.12)
35,"Cornes, Chad",25y 190d,127 (83-1-43 65.75%),110 (0.87),←,
18,"Cornes, Kane",22y 136d,78 (55-1-22 71.15%),34 (0.44),←,
17,"Dew, Stuart",25y 276d,145 (85-3-57 59.66%),216 (1.49),←,
33,"Ebert, Brett",21y 184d,25 (14-1-10 58.00%),26 (1.04),←,
13,"Eckermann, Ben",18y 70d,3 (2-0-1 66.67%),,←,
10,"Francou, Josh",30y 287d,142 (73-4-65 52.82%),66 (0.46),←,
38,"James, Roger",29y 212d,141 (88-3-50 63.48%),87 (0.62),←,
29,"Kingsley, Adam",29y 274d,151 (88-3-60 59.27%),35 (0.23),←,
5,"Lade, Brendon",28y 315d,133 (78-3-52 59.77%),109 (0.82),←,
3,"Montgomery, Brett",31y 354d,172 (110-3-59 64.83%),99 (0.58),112 (70-2-40 63.39%),45 (0.40)
15,"Pickett, Byron",27y 283d,164 (108-0-56 65.85%),146 (0.89),44 (34-0-10 77.27%),65 (1.48)
1,"Primus, Matthew",30y 129d,148 (69-3-76 47.64%),74 (0.50),128 (68-3-57 54.30%),69 (0.54)
12,"Shattock, Aaron",25y 19d,62 (37-2-23 61.29%),16 (0.26),5 (2-1-2 50.00%),1 (0.20)
28,"Thurstans, Toby",24y 280d,42 (29-1-12 70.24%),33 (0.79),←,
16,"Tredrea, Warren",26y 148d,164 (99-2-63 60.98%),369 (2.25),←,
2,"Wakelin, Darryl",30y 283d,211 (120-2-89 57.35%),12 (0.06),96 (67-1-28 70.31%),4 (0.04)
42,"Walsh, Peter",28y 301d,113 (54-1-58 48.23%),33 (0.29),9 (3-1-5 38.89%),2 (0.22)
4,"Wanganeen, Gavin",31y 337d,285 (170-6-109 60.70%),192 (0.67),158 (97-3-58 62.34%),129 (0.82)
24,"White, Damon",21y 278d,12 (7-1-4 62.50%),11 (0.92),←,
Totals,Totals,26y 320d,2589 (1538-43-1008 59.41%),1711 (0.66),,
C,"Williams, Mark",46y 273d,152 (95-2-55 63.16%),,←,
