Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",14,4,4,18,,,,,9.0,,1.0,1.0,2.0,,,5.0,13.0,,,3.0,,,96.0
27,"Edwards, Aaron",10,8,3,13,4,,,,2.0,2.0,,1.0,1.0,,,4.0,8.0,1.0,3.0,3.0,,1.0,95.0
24,"Firrito, Michael",10,7,7,17,,,,1.0,4.0,1.0,2.0,3.0,,2.0,,4.0,12.0,,,3.0,5.0,1.0,100.0
38,"Gibson, Josh",4,1,5,9,,,,,3.0,,,3.0,2.0,1.0,,5.0,3.0,1.0,,8.0,,,96.0
6,"Grant, Shannon",16,9,8,24,1,1.0,,,1.0,6.0,1.0,4.0,,,,5.0,19.0,,2.0,2.0,1.0,2.0,90.0
31,"Hale, David",4,4,5,9,,,12.0,6.0,1.0,2.0,1.0,4.0,2.0,2.0,,4.0,5.0,1.0,,2.0,,,56.0
26,"Hansen, Lachlan",4,2,3,7,,,1.0,1.0,,2.0,,1.0,,,,4.0,3.0,,,1.0,,1.0,48.0
4,"Harris, Daniel",13,3,11,24,,,,2.0,1.0,4.0,10.0,2.0,2.0,1.0,,17.0,8.0,,,3.0,,1.0,65.0
29,"Harvey, Brent",11,4,4,15,4,1.0,,1.0,,2.0,3.0,3.0,1.0,2.0,,4.0,10.0,,,2.0,,,83.0
25,"Lower, Ed",5,2,2,7,,,,2.0,,,1.0,2.0,1.0,1.0,,3.0,3.0,,,,,,82.0
1,"McIntosh, Hamish",13,5,10,23,1,,24.0,,3.0,4.0,2.0,2.0,3.0,,,8.0,15.0,1.0,,2.0,,,70.0
42,"McMahon, Scott",8,5,2,10,1,,,4.0,2.0,2.0,,1.0,2.0,,,2.0,7.0,,,7.0,,,72.0
20,"Petrie, Drew",12,9,2,14,1,,,3.0,2.0,2.0,1.0,1.0,3.0,1.0,,7.0,8.0,1.0,,4.0,,,91.0
30,"Pratt, Daniel",11,7,3,14,,,,3.0,4.0,2.0,,2.0,2.0,1.0,,5.0,9.0,1.0,,5.0,,,93.0
3,"Rawlings, Brady",10,2,17,27,,,,4.0,,1.0,6.0,,3.0,,,10.0,17.0,,,2.0,,,86.0
32,"Sansbury, Eddie",4,2,10,14,,,,5.0,1.0,3.0,2.0,3.0,,2.0,,5.0,10.0,,,3.0,,,77.0
7,"Simpson, Adam",14,3,13,27,,1.0,,2.0,,5.0,4.0,1.0,2.0,1.0,,9.0,19.0,,,3.0,,1.0,81.0
9,"Sinclair, Jess",10,7,13,23,,1.0,,4.0,,3.0,1.0,2.0,,,,2.0,22.0,,,,1.0,,79.0
10,"Smith, Jesse",16,6,11,27,,1.0,,5.0,4.0,3.0,1.0,1.0,2.0,,,8.0,19.0,,1.0,1.0,4.0,1.0,86.0
19,"Swallow, Andrew",8,3,9,17,1,,,6.0,1.0,2.0,5.0,3.0,2.0,1.0,,12.0,8.0,,1.0,4.0,,,73.0
36,"Watt, Shannon",10,8,4,14,,,,2.0,4.0,1.0,,1.0,,,,,14.0,,,4.0,,,100.0
8,"Wells, Daniel",13,4,15,28,1,,1.0,2.0,2.0,2.0,1.0,2.0,,,,4.0,24.0,,,2.0,5.0,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,220,105,161,381,14,9.0,38.0,53.0,44.0,49.0,42.0,43.0,30.0,15.0,,127.0,256.0,6.0,7.0,64.0,16.0,8.0,
Opposition,Opposition,187,102,144,331,8,12.0,39.0,51.0,32.0,52.0,27.0,61.0,15.0,30.0,,102.0,227.0,7.0,7.0,52.0,18.0,6.0,
