Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
8,"Bewick, Darren",23y 347d,70 (45-0-25 64.29%),104 (1.49),←,
23,"Cransberg, Peter",24y 5d,42 (29-0-13 69.05%),37 (0.88),←,
7,"Daniher, Chris",25y 125d,20 (11-0-9 55.00%),4 (0.20),←,
5,"Daniher, Terry",33y 353d,298 (184-3-111 62.25%),451 (1.51),279 (174-2-103 62.72%),429 (1.54)
15,"Ezard, Alan",28y 110d,163 (109-0-54 66.87%),191 (1.17),←,
34,"Filandia, Peter",21y 81d,10 (5-0-5 50.00%),12 (1.20),←,
28,"Flood, David",22y 162d,25 (15-0-10 60.00%),13 (0.52),←,
1,"Harvey, Mark",26y 53d,110 (77-0-33 70.00%),150 (1.36),←,
45,"Heard, Shane",33y 6d,164 (88-3-73 54.57%),39 (0.24),←,
49,"Hills, Paul",18y 317d,10 (5-0-5 50.00%),2 (0.20),←,
39,"Johnston, David",22y 115d,34 (19-0-15 55.88%),5 (0.15),←,
9,"Kickett, Derek",28y 301d,39 (23-0-16 58.97%),38 (0.97),27 (18-0-9 66.67%),26 (0.96)
27,"Madden, Simon",33y 216d,366 (219-2-145 60.11%),563 (1.54),←,
35,"McMullin, Ian",26y 336d,42 (28-0-14 66.67%),48 (1.14),21 (15-0-6 71.43%),24 (1.14)
12,"OBrien, Craig",21y 153d,18 (13-0-5 72.22%),15 (0.83),←,
10,"ODonnell, Gary",26y 83d,88 (57-0-31 64.77%),22 (0.25),←,
14,"Plain, Bradley",21y 312d,32 (23-0-9 71.88%),57 (1.78),←,
3,"Salmon, Paul",26y 195d,139 (85-1-53 61.51%),328 (2.36),←,
21,"Wallis, Dean",21y 341d,37 (18-0-19 48.65%),14 (0.38),←,
32,"Watson, Tim",30y 21d,277 (173-3-101 63.00%),303 (1.09),←,
Totals,Totals,25y 309d,1984 (1226-12-746 61.79%),2396 (1.21),,
C,"Sheedy, Kevin",43y 222d,256 (171-1-84 66.99%),,←,
