Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
17,"Bowey, Jake",22y 262d,73 (45-0-28 61.64%),8 (0.11),←,
37,"Chandler, Kade",25y 139d,68 (37-0-31 54.41%),53 (0.78),←,
31,"Fritsch, Bayley",28y 177d,160 (88-1-71 55.31%),263 (1.64),←,
11,"Gawn, Max",33y 153d,236 (116-1-119 49.36%),111 (0.47),←,
42,"Johnson, Aidan",25y 84d,5 (2-0-3 40.00%),3 (0.60),←,
15,"Langdon, Ed",29y 120d,191 (101-1-89 53.14%),82 (0.43),123 (76-1-46 62.20%),49 (0.40)
19,"Langford, Harvey",19y 78d,11 (5-0-6 45.45%),7 (0.64),←,
16,"Laurie, Bailey",23y 69d,12 (6-0-6 50.00%),2 (0.17),←,
8,"Lever, Jake",29y 88d,182 (113-1-68 62.36%),5 (0.03),126 (75-1-50 59.92%),2 (0.02)
20,"Lindsay, Xavier",18y 302d,11 (5-0-6 45.45%),,←,
1,"May, Steven",33y 142d,244 (111-2-131 45.90%),24 (0.10),121 (73-1-47 60.74%),3 (0.02)
4,"McVee, Judd",21y 298d,54 (31-0-23 57.41%),1 (0.02),←,
18,"Melksham, Jake",33y 276d,237 (123-1-113 52.11%),198 (0.84),123 (71-0-52 57.72%),141 (1.15)
13,"Oliver, Clayton",27y 314d,194 (107-1-86 55.41%),57 (0.29),←,
5,"Petracca, Christian",29y 148d,201 (112-1-88 55.97%),197 (0.98),←,
35,"Petty, Harry",25y 201d,93 (50-1-42 54.30%),37 (0.40),←,
36,"Pickett, Kysaiah",23y 364d,115 (73-1-41 63.91%),179 (1.56),←,
24,"Rivers, Trent",23y 306d,112 (70-1-41 62.95%),11 (0.10),←,
3,"Salem, Christian",29y 321d,188 (95-1-92 50.80%),27 (0.14),←,
30,"Sharp, Harry",22y 166d,28 (15-1-12 55.36%),12 (0.43),12 (5-0-7 41.67%),8 (0.67)
32,"Sparrow, Tom",25y 1d,107 (65-1-41 61.21%),41 (0.38),←,
10,"Turner, Daniel",23y 124d,26 (12-0-14 46.15%),22 (0.85),←,
6,"Windsor, Caleb",19y 357d,29 (15-0-14 51.72%),10 (0.34),←,
Totals,Totals,25y 322d,2577 (1397-15-1165 54.21%),1350 (0.52),,
C,"Goodwin, Simon",48y 157d,195 (109-1-85 56.15%),,194 (109-1-84 56.44%),
