Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
12,"Astbury, David",29y 22d,130 (75-2-53 58.46%),9 (0.07),←,
7,"Baker, Liam",22y 52d,23 (19-0-4 82.61%),9 (0.39),←,
29,"Bolton, Shai",21y 102d,29 (23-0-6 79.31%),22 (0.76),←,
35,"Broad, Nathan",26y 339d,55 (45-0-10 81.82%),1 (0.02),←,
22,"Caddy, Josh",27y 173d,158 (100-1-57 63.61%),160 (1.01),63 (48-0-15 76.19%),84 (1.33)
11,"Castagna, Jason",23y 251d,77 (55-0-22 71.43%),84 (1.09),←,
9,"Cotchin, Trent",29y 347d,235 (129-2-104 55.32%),126 (0.54),←,
10,"Edwards, Shane",31y 146d,256 (133-5-118 52.93%),162 (0.63),←,
34,"Graham, Jack",22y 23d,40 (33-0-7 82.50%),19 (0.47),←,
2,"Grimes, Dylan",28y 247d,152 (99-0-53 65.13%),3 (0.02),←,
23,"Lambert, Kane",28y 114d,96 (67-0-29 69.79%),62 (0.65),←,
19,"Lynch, Tom",27y 140d,157 (57-1-99 36.62%),317 (2.02),26 (20-0-6 76.92%),63 (2.42)
4,"Martin, Dustin",28y 267d,225 (127-2-96 56.89%),251 (1.12),←,
25,"Nankervis, Toby",25y 220d,72 (53-0-19 73.61%),25 (0.35),60 (46-0-14 76.67%),22 (0.37)
50,"Pickett, Marlion",28y 73d,2 (2-0-0 100.00%),1 (0.50),←,
3,"Prestia, Dion",27y 159d,156 (74-0-82 47.44%),52 (0.33),61 (48-0-13 78.69%),22 (0.36)
8,"Riewoldt, Jack",31y 140d,263 (137-4-122 52.85%),634 (2.41),←,
17,"Rioli, Daniel",22y 338d,78 (52-0-26 66.67%),71 (0.91),←,
15,"Short, Jayden",24y 55d,72 (49-0-23 68.06%),20 (0.28),←,
20,"Soldo, Ivan",23y 340d,23 (18-0-5 78.26%),7 (0.30),←,
44,"Stack, Sydney",19y 326d,18 (13-0-5 72.22%),10 (0.56),←,
1,"Vlastuin, Nick",25y 335d,142 (92-0-50 64.79%),26 (0.18),←,
Totals,Totals,26y 75d,2459 (1452-17-990 59.05%),2071 (0.84),,
C,"Hardwick, Damien",47y 214d,232 (131-2-99 56.90%),,←,
