Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Boak, Travis",13,5,19,32,2,,,4.0,,5.0,9.0,,,,3.0,16.0,16.0,,2.0,1.0,1.0,1.0,78.0
5,"Broadbent, Matthew",16,4,2,18,,1.0,,2.0,2.0,5.0,1.0,,,,,4.0,14.0,,,2.0,,1.0,88.0
27,"Carlile, Alipate",4,2,6,10,,,,,3.0,1.0,,1.0,1.0,1.0,,2.0,8.0,,,7.0,,,95.0
25,"Cassisi, Domenic",9,2,6,15,,,,,2.0,2.0,1.0,4.0,3.0,2.0,,6.0,8.0,1.0,,4.0,,,77.0
18,"Cornes, Kane",16,7,17,33,,,,4.0,3.0,4.0,3.0,1.0,,,,7.0,26.0,,,,,,94.0
7,"Ebert, Brad",20,5,8,28,,,5.0,5.0,7.0,5.0,7.0,5.0,2.0,2.0,1.0,13.0,14.0,,,,,1.0,85.0
9,"Gray, Robbie",14,10,6,20,2,2.0,,1.0,2.0,3.0,,4.0,,2.0,,6.0,13.0,,3.0,1.0,,1.0,84.0
46 ↓,"Gray, Sam",4,3,6,10,1,,,1.0,,1.0,2.0,2.0,,1.0,,5.0,5.0,,,,,,70.0
8,"Hartlett, Hamish",18,8,11,29,2,1.0,,2.0,3.0,2.0,5.0,5.0,1.0,,2.0,12.0,18.0,,1.0,2.0,,,82.0
36,"Hombsch, Jack",17,9,8,25,,,,4.0,2.0,1.0,,2.0,,,,5.0,20.0,1.0,,5.0,1.0,,86.0
24 ↑,"Impey, Jarman",1,,2,3,,,,1.0,1.0,,2.0,2.0,,1.0,,3.0,,,,1.0,,,15.0
42,"Jonas, Tom",6,4,9,15,,,,2.0,1.0,1.0,1.0,,,,,6.0,9.0,,,4.0,,,83.0
23,"Lobbe, Matthew",6,3,7,13,2,,32.0,4.0,,1.0,4.0,5.0,3.0,4.0,,8.0,5.0,1.0,,3.0,,,86.0
29,"Pittard, Jasper",6,8,9,15,,,,2.0,4.0,1.0,,2.0,,,,1.0,14.0,,,2.0,5.0,,91.0
21,"Polec, Jared",11,3,13,24,,1.0,,2.0,,6.0,2.0,3.0,,,,8.0,15.0,,1.0,2.0,1.0,,85.0
28,"Schulz, Jay",7,5,2,9,1,,,2.0,,,,1.0,1.0,,,3.0,5.0,1.0,4.0,3.0,,1.0,94.0
12,"Trengove, Jackson",7,2,5,12,,1.0,6.0,1.0,1.0,,1.0,1.0,1.0,,,5.0,5.0,1.0,,4.0,,,89.0
39,"Westhoff, Justin",8,3,4,12,,1.0,,2.0,,2.0,,3.0,,,,5.0,6.0,,,3.0,,,95.0
19,"White, Matt",10,4,2,12,2,1.0,,4.0,,2.0,,1.0,1.0,,,3.0,9.0,,1.0,,1.0,,86.0
16,"Wines, Ollie",5,3,19,24,,,5.0,5.0,1.0,2.0,2.0,2.0,1.0,,,12.0,12.0,,,,,1.0,72.0
20,"Wingard, Chad",12,7,4,16,3,1.0,,,,3.0,,2.0,1.0,,,5.0,11.0,1.0,5.0,1.0,,2.0,95.0
40,"Young, Aaron",7,3,8,15,1,1.0,,4.0,3.0,2.0,2.0,2.0,1.0,,,4.0,11.0,,,,,,70.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,217,100,173,390,16,11.0,48.0,52.0,35.0,49.0,42.0,48.0,16.0,13.0,6.0,139.0,244.0,6.0,17.0,45.0,9.0,8.0,
Opposition,Opposition,190,89,139,329,9,13.0,31.0,72.0,29.0,49.0,32.0,46.0,13.0,16.0,,127.0,208.0,16.0,15.0,43.0,1.0,6.0,
