Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
18,"Banfield, Todd",20y 355d,34 (9-0-25 26.47%),42 (1.24),←,
43,"Bewick, Rohan",21y 251d,9 (2-0-7 22.22%),3 (0.33),←,
20,"Black, Simon",32y 76d,286 (160-4-122 56.64%),161 (0.56),←,
16,"Brown, Jonathan",29y 232d,206 (125-3-78 61.41%),489 (2.37),←,
1,"Clark, Mitch",23y 242d,77 (30-2-45 40.26%),53 (0.69),←,
22,"Collier, Tom",22y 85d,27 (8-0-19 29.63%),4 (0.15),←,
39,"Drummond, Josh",28y 60d,75 (35-2-38 48.00%),31 (0.41),←,
41,"Golby, Mitch",19y 258d,2 (0-0-2 0.00%),,←,
42,"Green, Josh",18y 298d,5 (2-0-3 40.00%),,←,
11,"Hanley, Pearce",22y 215d,24 (5-0-19 20.83%),4 (0.17),←,
26,"Harwood, Ryan",19y 315d,8 (2-0-6 25.00%),4 (0.50),←,
28,"Karnezis, Patrick",19y 56d,1 (0-0-1 0.00%),2 (2.00),←,
23,"Leuenberger, Matthew",23y 11d,56 (20-1-35 36.61%),7 (0.13),←,
36,"Maguire, Matt",27y 19d,119 (61-1-57 51.68%),19 (0.16),20 (7-0-13 35.00%),
9,"McGrath, Ashley",28y 29d,166 (83-2-81 50.60%),123 (0.74),←,
24,"Patfull, Joel",26y 193d,111 (45-3-63 41.89%),21 (0.19),←,
31,"Polkinghorne, James",22y 148d,51 (20-1-30 40.20%),29 (0.57),←,
6,"Power, Luke",31y 161d,273 (150-3-120 55.49%),218 (0.80),←,
30,"Redden, Jack",20y 191d,44 (15-1-28 35.23%),19 (0.43),←,
10,"Rich, Daniel",21y 11d,58 (23-1-34 40.52%),30 (0.52),←,
38,"Rockliff, Tom",21y 116d,30 (6-0-24 20.00%),8 (0.27),←,
3,"Sheldon, Sam",22y 102d,30 (15-1-14 51.67%),2 (0.07),←,
Totals,Totals,23y 272d,1692 (816-25-851 48.23%),1269 (0.75),,
C,"Voss, Michael",35y 346d,58 (23-1-34 40.52%),,←,
