Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",20y 263d,53 (11-1-41 21.70%),28 (0.53),←,
22,"Bain, David",26y 43d,70 (14-1-55 20.71%),39 (0.56),←,
1,"Champion, Richard",24y 61d,29 (4-1-24 15.52%),11 (0.38),←,
12,"Clarke, Troy",23y 6d,22 (3-1-18 15.91%),10 (0.45),←,
4,"Gastev, John",27y 308d,101 (33-1-67 33.17%),63 (0.62),71 (16-1-54 23.24%),32 (0.45)
34,"Green, Ashley",19y 69d,10 (2-1-7 25.00%),1 (0.10),←,
14,"Hamilton, Shane",21y 301d,48 (14-0-34 29.17%),59 (1.23),21 (2-0-19 9.52%),19 (0.90)
32,"Hart, Shaun",21y 28d,26 (6-1-19 25.00%),4 (0.15),←,
8,"Jeffrey, Russell",26y 129d,46 (17-0-29 36.96%),3 (0.07),4 (1-0-3 25.00%),
41,"Kennedy, Matthew",22y 131d,28 (4-0-24 14.29%),4 (0.14),←,
17,"Leslie, Martin",29y 210d,63 (13-1-49 21.43%),5 (0.08),←,
40,"McLuckie, Steven",19y 123d,8 (2-1-5 31.25%),7 (0.88),←,
26,"Noonan, Danny",23y 198d,29 (4-1-24 15.52%),14 (0.48),←,
44,"Palfreyman, Nigel",18y 256d,11 (1-1-9 13.64%),6 (0.55),←,
27,"Rendell, Matthew",33y 57d,167 (88-1-78 52.99%),102 (0.61),3 (1-0-2 33.33%),1 (0.33)
6,"Retzlaff, Brendon",23y 53d,7 (2-1-4 35.71%),,←,
23,"Schache, Laurence",24y 241d,23 (3-1-19 15.22%),56 (2.43),←,
33,"White, Darryl",19y 2d,11 (2-1-8 22.73%),4 (0.36),←,
18,"Worsfold, Peter",21y 339d,19 (2-1-16 13.16%),18 (0.95),←,
21,"Zanotti, Mark",27y 219d,92 (27-0-65 29.35%),9 (0.10),56 (10-0-46 17.86%),3 (0.05)
Totals,Totals,23y 243d,863 (252-16-595 29.20%),443 (0.51),,
C,"Walls, Robert",41y 329d,233 (120-2-111 51.93%),,34 (5-1-28 16.18%),
