Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
29,"Ablett, Gary",21y 70d,72 (36-1-35 50.69%),91 (1.26),←,
3,"Bartel, Jimmy",21y 231d,57 (29-1-27 51.75%),25 (0.44),←,
35,"Chapman, Paul",23y 260d,92 (46-1-45 50.54%),108 (1.17),←,
11,"Corey, Joel",23y 156d,97 (48-1-48 50.00%),33 (0.34),←,
19,"Egan, Matthew",22y 13d,8 (4-0-4 50.00%),,←,
41,"Hunt, Josh",23y 131d,56 (33-0-23 58.93%),6 (0.11),←,
20,"Johnson, Steve",22y 19d,45 (22-1-22 50.00%),67 (1.49),←,
9,"Kelly, James",21y 206d,63 (30-1-32 48.41%),26 (0.41),←,
1,"King, Steven",26y 243d,166 (83-1-82 50.30%),73 (0.44),←,
18,"Kingsley, Kent",26y 300d,106 (58-0-48 54.72%),216 (2.04),94 (47-0-47 50.00%),206 (2.19)
36,"Koulouriotis, Paul",23y 152d,17 (11-0-6 64.71%),4 (0.24),14 (9-0-5 64.29%),4 (0.29)
45,"Ling, Cameron",24y 146d,106 (55-2-49 52.83%),49 (0.46),←,
39,"Milburn, Darren",28y 99d,159 (78-0-81 49.06%),63 (0.40),←,
21,"Mooney, Cameron",25y 300d,96 (53-1-42 55.73%),62 (0.65),85 (43-1-41 51.18%),60 (0.71)
22,"Playfair, Henry",22y 182d,36 (22-1-13 62.50%),20 (0.56),←,
34,"Rahilly, James",26y 38d,90 (34-2-54 38.89%),11 (0.12),←,
15,"Riccardi, Peter",32y 218d,276 (154-3-119 56.34%),279 (1.01),←,
33,"Rooke, Max",23y 216d,60 (28-1-31 47.50%),6 (0.10),←,
27,"Sanderson, Brenton",31y 146d,203 (100-3-100 50.00%),34 (0.17),193 (98-3-92 51.55%),29 (0.15)
30,"Scarlett, Matthew",26y 48d,133 (69-1-63 52.26%),11 (0.08),←,
10,"Tenace, Kane",20y 19d,23 (13-0-10 56.52%),5 (0.22),←,
14,"Thurley, Cameron",23y 239d,7 (4-0-3 57.14%),12 (1.71),←,
Totals,Totals,24y 206d,1968 (1010-21-937 51.32%),1201 (0.61),,
C,"Thompson, Mark",41y 246d,131 (65-2-64 50.38%),,←,
