Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
7,"Ash, Lachie",13,5.0,9.0,22,,,,2.0,6.0,1.0,1.0,1.0,,,,5.0,12,,,3.0,1.0,1.0,79.0
14,"Bedford, Toby",4,1.0,7.0,11,,,,6.0,,2.0,3.0,1.0,,1.0,,3.0,9,,,,1.0,,83.0
44,"Buckley, Jack",6,4.0,6.0,12,,,,1.0,3.0,,,4.0,,2.0,,5.0,7,,,5.0,,,93.0
5,"Cadman, Aaron",10,5.0,1.0,11,3.0,2.0,,4.0,,1.0,,1.0,,,,2.0,7,2.0,3.0,1.0,,,65.0
17,"Callaghan, Finn",14,5.0,10.0,24,1.0,,,4.0,4.0,3.0,3.0,1.0,3.0,1.0,,7.0,17,,1.0,,1.0,,79.0
16,"Daniels, Brent",6,2.0,10.0,16,1.0,,,5.0,1.0,3.0,4.0,2.0,1.0,1.0,,7.0,9,,,,,2.0,88.0
12,"Green, Tom",14,5.0,14.0,28,,,,3.0,2.0,8.0,5.0,2.0,1.0,,3.0,8.0,22,,,3.0,,1.0,87.0
4,"Greene, Toby",4,2.0,,4,1.0,,,3.0,,2.0,1.0,6.0,3.0,4.0,,5.0,1,1.0,,1.0,,,88.0
35,"Gruzewski, Max",2,2.0,1.0,3,1.0,,,,,,,,,,,2.0,1,1.0,1.0,,,,54.0
27,"Himmelberg, Harry",16,5.0,7.0,23,,,,2.0,7.0,,,,,,,3.0,16,,,4.0,1.0,,82.0
23,"Hogan, Jesse",10,6.0,6.0,16,3.0,,,1.0,,2.0,1.0,1.0,2.0,,,10.0,6,3.0,4.0,2.0,,,97.0
39,"Idun, Connor",10,6.0,13.0,23,,,,1.0,6.0,,2.0,3.0,1.0,1.0,,10.0,13,,,4.0,,,91.0
2,"Jones, Darcy",8,1.0,10.0,18,2.0,,,2.0,,5.0,1.0,4.0,,1.0,1.0,5.0,13,,,,1.0,,79.0
25,"Keeffe, Lachlan",3,1.0,2.0,5,,,32.0,4.0,,1.0,1.0,4.0,,2.0,,1.0,4,,,1.0,,,84.0
22,"Kelly, Josh",10,5.0,9.0,19,,1.0,,5.0,4.0,1.0,4.0,1.0,,,,6.0,14,,,3.0,,,81.0
33,"OHalloran, Xavier",7,2.0,,7,,,,1.0,,3.0,,2.0,,1.0,,1.0,6,,,,,1.0,71.0
20,"Peatling, James",10,1.0,10.0,20,,,,6.0,1.0,6.0,9.0,2.0,6.0,,,11.0,9,,,2.0,,2.0,83.0
36,"Perryman, Harry",12,8.0,5.0,17,,,,3.0,2.0,3.0,,2.0,,1.0,,3.0,15,,,,1.0,1.0,81.0
18 ↑,"Stone, Conor",1,,1.0,2,,,,1.0,,,,1.0,,1.0,,,2,,,1.0,,,17.0
15,"Taylor, Sam",4,5.0,9.0,13,,,,2.0,2.0,,,3.0,,2.0,,5.0,8,2.0,,8.0,,,100.0
28 ↓,"Thomas, Harvey",1,1.0,4.0,5,,,,1.0,,,,,,,,1.0,4,,,,,,53.0
8,"Ward, Callan",9,3.0,6.0,15,1.0,1.0,,2.0,2.0,2.0,3.0,2.0,1.0,,,4.0,11,,,1.0,,,83.0
6,"Whitfield, Lachie",13,2.0,12.0,25,,,,1.0,4.0,3.0,1.0,4.0,1.0,1.0,,8.0,14,,,2.0,,1.0,82.0
Totals,Totals,187,77.0,152.0,339,13.0,4.0,32.0,60.0,44.0,46.0,39.0,47.0,19.0,19.0,4.0,112.0,220,9.0,9.0,41.0,6.0,9.0,
Opposition,Opposition,220,104.0,122.0,342,8.0,16.0,48.0,36.0,31.0,52.0,37.0,44.0,19.0,19.0,2.0,131.0,208,10.0,12.0,32.0,3.0,4.0,
