Notes,Previous,Current
Gold Coast's lowest score conceded,"85 v West Coast - R11,2011","23 v Richmond - R22,2025"
Gold Coast's biggest win,"8 v Brisbane Lions - R7,2011","95 v Essendon - R1,2025"
