Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
26,"Brown, Gavin",23y 298d,92 (50-3-39 55.98%),88 (0.96),←,
28,"Crosisca, Gavin",22y 308d,87 (53-3-31 62.64%),35 (0.40),←,
35,"Daicos, Peter",29y 303d,221 (126-4-91 57.92%),452 (2.05),←,
2,"Francis, Tony",22y 110d,32 (19-2-11 62.50%),30 (0.94),←,
3,"Gayfer, Michael",25y 337d,106 (62-1-43 58.96%),1 (0.01),←,
23,"Kelly, Craig",25y 34d,54 (32-2-20 61.11%),23 (0.43),←,
44,"Kerrison, Shane",26y 114d,97 (56-2-39 58.76%),12 (0.12),←,
15,"Lehmann, Troy",19y 145d,8 (5-0-3 62.50%),6 (0.75),←,
30,"Manson, James",24y 260d,103 (59-3-41 58.74%),92 (0.89),←,
5,"McKeown, Ron",24y 71d,97 (54-3-40 57.22%),72 (0.74),←,
42,"Millane, Darren",25y 345d,142 (80-3-59 57.39%),73 (0.51),←,
1,"Monkhorst, Damian",21y 333d,51 (32-2-17 64.71%),7 (0.14),←,
16,"Richardson, Mark",18y 262d,9 (6-0-3 66.67%),23 (2.56),←,
29,"Russell, Scott",21y 74d,43 (27-2-14 65.12%),26 (0.60),←,
22,"Shaw, Tony",30y 362d,259 (145-3-111 56.56%),147 (0.57),←,
27,"Starcevich, Craig",24y 65d,81 (45-3-33 57.41%),111 (1.37),←,
6,"Tuddenham, Paul",23y 309d,38 (23-0-15 60.53%),32 (0.84),←,
24,"Turner, Jamie",28y 342d,141 (79-3-59 57.09%),29 (0.21),←,
37,"Williams, Paul",18y 108d,14 (7-0-7 50.00%),14 (1.00),←,
19,"Wright, Graham",23y 44d,71 (46-2-23 66.20%),66 (0.93),←,
Totals,Totals,24y 29d,1746 (1006-41-699 57.62%),1339 (0.77),,
C,"Matthews, Leigh",39y 141d,131 (74-3-54 57.63%),,←,
