Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",20y 248d,51 (10-1-40 20.59%),27 (0.53),←,
22,"Bain, David",26y 28d,69 (14-1-54 21.01%),38 (0.55),←,
25,"Campbell, Matthew",28y 121d,71 (15-1-55 21.83%),24 (0.34),←,
1,"Champion, Richard",24y 46d,27 (3-1-23 12.96%),11 (0.41),←,
4,"Gastev, John",27y 293d,99 (32-1-66 32.83%),63 (0.64),69 (15-1-53 22.46%),32 (0.46)
34,"Green, Ashley",19y 54d,8 (1-1-6 18.75%),,←,
14,"Hamilton, Shane",21y 286d,46 (13-0-33 28.26%),56 (1.22),19 (1-0-18 5.26%),16 (0.84)
32,"Hart, Shaun",21y 13d,24 (5-1-18 22.92%),4 (0.17),←,
11,"Hutton, John",26y 4d,9 (1-1-7 16.67%),25 (2.78),←,
8,"Jeffrey, Russell",26y 114d,44 (16-0-28 36.36%),3 (0.07),2 (0-0-2 0.00%),
41,"Kennedy, Matthew",22y 116d,26 (3-0-23 11.54%),3 (0.12),←,
17,"Leslie, Martin",29y 195d,61 (12-1-48 20.49%),5 (0.08),←,
7,"McIvor, Scott",25y 295d,132 (47-0-85 35.61%),51 (0.39),77 (21-0-56 27.27%),36 (0.47)
26,"Noonan, Danny",23y 183d,27 (3-1-23 12.96%),12 (0.44),←,
5,"Owen, Rod",25y 120d,74 (22-0-52 29.73%),126 (1.70),5 (1-0-4 20.00%),4 (0.80)
44,"Palfreyman, Nigel",18y 241d,10 (1-1-8 15.00%),6 (0.60),←,
27,"Rendell, Matthew",33y 42d,165 (87-1-77 53.03%),102 (0.62),1 (0-0-1 0.00%),1 (1.00)
33,"White, Darryl",18y 353d,9 (1-1-7 16.67%),3 (0.33),←,
18,"Worsfold, Peter",21y 324d,17 (1-1-15 8.82%),15 (0.88),←,
21,"Zanotti, Mark",27y 204d,90 (26-0-64 28.89%),9 (0.10),54 (9-0-45 16.67%),3 (0.06)
Totals,Totals,24y 146d,1059 (313-14-732 29.56%),583 (0.55),,
C,"Walls, Robert",41y 314d,231 (119-2-110 51.95%),,32 (4-1-27 14.06%),
