Notes,Previous,Current
Brisbane Lions's highest score,"181 v Fremantle - R20,1999",Current holder
Brisbane Lions's biggest win,"114 v Fremantle - R20,1999",Current holder
Adelaide's biggest loss,"135 v West Coast - R19,1995",Current holder
