Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
8,"Austin, Matt",21y 32d,9 (6-0-3 66.67%),2 (0.22),←,
18,"Banfield, Todd",19y 307d,6 (4-0-2 66.67%),9 (1.50),←,
20,"Black, Simon",31y 28d,261 (155-4-102 60.15%),154 (0.59),←,
17,"Brennan, Jared",25y 277d,106 (53-3-50 51.42%),68 (0.64),←,
16,"Brown, Jonathan",28y 184d,190 (120-3-67 63.95%),447 (2.35),←,
33,"Buchanan, Amon",27y 203d,118 (67-2-49 57.63%),57 (0.48),2 (1-0-1 50.00%),
1,"Clark, Mitch",22y 194d,51 (25-2-24 50.98%),27 (0.53),←,
39,"Drummond, Josh",27y 12d,71 (35-2-34 50.70%),29 (0.41),←,
5,"Fevola, Brendan",29y 101d,193 (73-2-118 38.34%),596 (3.09),6 (4-0-2 66.67%),21 (3.50)
4,"Johnstone, Travis",29y 288d,200 (99-1-100 49.75%),135 (0.68),40 (21-0-19 52.50%),24 (0.60)
23,"Leuenberger, Matthew",21y 328d,28 (15-1-12 55.36%),4 (0.14),←,
36,"Maguire, Matt",25y 336d,105 (58-1-46 55.71%),19 (0.18),6 (4-0-2 66.67%),
9,"McGrath, Ashley",26y 346d,142 (79-2-61 56.34%),106 (0.75),←,
24,"Patfull, Joel",25y 145d,84 (40-3-41 49.40%),20 (0.24),←,
31,"Polkinghorne, James",21y 100d,28 (16-1-11 58.93%),16 (0.57),←,
6,"Power, Luke",30y 113d,246 (145-3-98 59.55%),201 (0.82),←,
29,"Raines, Andrew",24y 54d,62 (22-1-39 36.29%),1 (0.02),6 (4-0-2 66.67%),
30,"Redden, Jack",19y 143d,16 (10-1-5 65.63%),6 (0.38),←,
10,"Rich, Daniel",19y 328d,30 (18-1-11 61.67%),14 (0.47),←,
35,"Rischitelli, Michael",24y 113d,95 (46-3-46 50.00%),42 (0.44),←,
28,"Selwood, Troy",26y,72 (31-2-39 44.44%),11 (0.15),←,
14,"Staker, Brent",25y 343d,116 (68-1-47 59.05%),87 (0.75),6 (4-0-2 66.67%),3 (0.50)
Totals,Totals,25y 64d,2229 (1185-39-1005 53.16%),2051 (0.92),,
C,"Voss, Michael",34y 298d,30 (18-1-11 61.67%),,←,
