North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
15,"Abraham, Winston",23y 223d,45 (22-0-23 48.89%),68 (1.51),7 (4-0-3 57.14%),13 (1.86)
33,"Allison, Brett",29y 349d,203 (110-1-92 54.43%),259 (1.28),←,
14,"Anderson, Brady",22y 332d,7 (4-0-3 57.14%),,←,
11,"Archer, Glenn",25y 47d,124 (77-0-47 62.10%),86 (0.69),←,
26,"Bell, Peter",22y 70d,57 (35-0-22 61.40%),53 (0.93),55 (35-0-20 63.64%),51 (0.93)
12,"Blakey, John",31y 290d,256 (127-0-129 49.61%),78 (0.30),121 (75-0-46 61.98%),40 (0.33)
18,"Carey, Wayne",26y 348d,169 (100-0-69 59.17%),424 (2.51),←,
6,"Grant, Shannon",21y 21d,65 (36-1-28 56.15%),52 (0.80),7 (4-0-3 57.14%),14 (2.00)
29,"Harvey, Brent",19y 361d,23 (14-0-9 60.87%),19 (0.83),←,
21,"Hewitt, Evan",19y 307d,8 (4-0-4 50.00%),7 (0.88),←,
34,"King, David",26y 64d,93 (58-0-35 62.37%),26 (0.28),←,
4,"Martyn, Mick",29y 252d,208 (116-1-91 56.01%),14 (0.07),←,
5,"McCartney, Jason",24y 57d,82 (38-0-44 46.34%),48 (0.59),7 (4-0-3 57.14%),
31,"McKernan, Corey",24y 142d,98 (65-0-33 66.33%),105 (1.07),←,
28,"Pickett, Byron",20y 272d,8 (4-0-4 50.00%),,←,
3,"Rock, Anthony",27y 223d,164 (97-0-67 59.15%),131 (0.80),←,
8,"Scott, Robert",29y 70d,213 (127-1-85 59.86%),209 (0.98),81 (52-0-29 64.20%),45 (0.56)
24,"Sholl, Craig",30y 131d,183 (105-0-78 57.38%),108 (0.59),←,
37,"Simpson, Adam",22y 83d,51 (35-0-16 68.63%),23 (0.45),←,
10,"Stevens, Anthony",26y 312d,163 (96-0-67 58.90%),79 (0.48),←,
38,"Stevens, Danny",21y 181d,10 (6-0-4 60.00%),5 (0.50),←,
30,"Welsh, Scott",19y 154d,9 (5-0-4 55.56%),3 (0.33),←,
Totals,Totals,24y 295d,2239 (1281-4-954 57.21%),1797 (0.80),,
C,"Pagan, Denis",50y 228d,127 (80-0-47 62.99%),,←,
