Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
21,"Aliir, Aliir",27y 6d,88 (47-0-41 53.41%),5 (0.06),24 (18-0-6 75.00%),
15,"Amon, Karl",26y 23d,102 (63-0-39 61.76%),47 (0.46),←,
14,"Bergman, Miles",19y 328d,23 (17-0-6 73.91%),7 (0.30),←,
10,"Boak, Travis",33y 41d,306 (159-1-146 52.12%),187 (0.61),←,
26,"Bonner, Riley",24y 188d,65 (43-0-22 66.15%),10 (0.15),←,
3,"Burton, Ryan",24y 223d,95 (58-1-36 61.58%),9 (0.09),48 (33-0-15 68.75%),4 (0.08)
18,"Butters, Zak",21y 3d,48 (31-0-17 64.58%),31 (0.65),←,
33,"Byrne-Jones, Darcy",25y 356d,129 (78-0-51 60.47%),6 (0.05),←,
22,"Dixon, Charlie",30y 353d,177 (90-1-86 51.13%),294 (1.66),112 (71-0-41 63.39%),200 (1.79)
28,"Drew, Willem",22y 345d,34 (23-0-11 67.65%),6 (0.18),←,
7,"Duursma, Xavier",21y 66d,46 (32-0-14 69.57%),21 (0.46),←,
13,"Fantasia, Orazio",25y 362d,95 (45-1-49 47.89%),139 (1.46),15 (11-0-4 73.33%),28 (1.87)
9,"Gray, Robbie",33y 165d,255 (133-0-122 52.16%),353 (1.38),←,
5,"Houston, Dan",24y 122d,100 (65-0-35 65.00%),18 (0.18),←,
1,"Jonas, Tom",30y 245d,182 (104-1-77 57.42%),1 (0.01),←,
38,"Ladhams, Peter",23y 240d,32 (22-0-10 68.75%),21 (0.66),←,
29,"Lycett, Scott",28y 350d,128 (85-0-43 66.41%),59 (0.46),53 (37-0-16 69.81%),14 (0.26)
4,"Marshall, Todd",22y 338d,55 (41-0-14 74.55%),57 (1.04),←,
12,"McKenzie, Trent",29y 161d,139 (55-0-84 39.57%),23 (0.17),33 (26-0-7 78.79%),1 (0.03)
6,"Motlop, Steven",30y 183d,203 (132-2-69 65.52%),219 (1.08),68 (42-0-26 61.76%),44 (0.65)
2,"Powell-Pepper, Sam",23y 246d,92 (59-0-33 64.13%),48 (0.52),←,
20,"Rozee, Connor",21y 232d,59 (39-0-20 66.10%),59 (1.00),←,
16,"Wines, Ollie",26y 339d,182 (108-0-74 59.34%),81 (0.45),←,
Totals,Totals,26y 23d,2635 (1529-7-1099 58.03%),1701 (0.65),,
C,"Hinkley, Ken",54y 346d,202 (121-0-81 59.90%),,←,
