Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
24,"Allan, Matthew",10,6,3.0,13,1.0,1.0,26.0,1.0,,5.0,,,,2.0,2.0,3.0,11,,2.0,,,,
29,"Beaumont, Simon",8,7,8.0,16,1.0,1.0,,,2.0,1.0,,2.0,,,,6.0,10,1.0,3.0,3.0,,,
21,"Bradley, Craig",10,3,8.0,18,1.0,,,,2.0,6.0,5.0,5.0,,2.0,,7.0,11,,,4.0,,,
16,"Camporeale, Scott",11,1,7.0,18,1.0,1.0,,1.0,1.0,4.0,1.0,1.0,,1.0,,6.0,11,1.0,1.0,2.0,,,
39,"Christou, Ang",13,3,4.0,17,,,,1.0,6.0,1.0,,1.0,,1.0,,8.0,8,1.0,,1.0,4.0,,
31,"Fletcher, Simon",8,2,5.0,13,1.0,,,3.0,2.0,,2.0,2.0,3.0,,,7.0,9,,,2.0,,,
45,"Franchina, Anthony",8,3,2.0,10,,1.0,,,,1.0,2.0,2.0,1.0,1.0,,5.0,6,,1.0,,,,
4,"Hamill, Aaron",13,6,3.0,16,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,,8.0,9,2.0,1.0,5.0,,,
9,"Hickmott, Adrian",13,9,10.0,23,2.0,,1.0,4.0,1.0,4.0,3.0,1.0,,,,7.0,17,1.0,3.0,2.0,,,
37,"Hotton, Trent",5,3,4.0,9,1.0,,3.0,1.0,1.0,,2.0,2.0,2.0,,,5.0,4,,,,,,
33,"Houlihan, Ryan",3,1,2.0,5,,,,1.0,,,,1.0,1.0,,,3.0,2,,,1.0,,,
27,"Hulme, Darren",4,2,,4,,,,2.0,1.0,2.0,,,,,,,4,,,,,,
43,"Koutoufides, Anthony",17,8,21.0,38,5.0,1.0,1.0,2.0,2.0,5.0,10.0,5.0,3.0,2.0,3.0,24.0,14,3.0,3.0,,,,
12,"Lappin, Matthew",10,3,7.0,17,1.0,,,1.0,,6.0,,,1.0,2.0,,5.0,13,,1.0,1.0,,,
10,"Mansfield, Michael",11,5,3.0,14,1.0,,,,1.0,2.0,3.0,4.0,,1.0,,5.0,10,1.0,1.0,2.0,,,
22,"Manton, Glenn",1,1,5.0,6,,,,1.0,1.0,,1.0,,,,,4.0,2,,,2.0,,,
5,"McKay, Andrew",14,7,8.0,22,1.0,,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,,6.0,17,,1.0,3.0,,,
26,"OReilly, Stephen",1,1,,1,,,,1.0,,,,,,,,1.0,1,,,,,,
7,"Ratten, Brett",20,8,10.0,30,,1.0,,2.0,1.0,4.0,4.0,1.0,2.0,,,17.0,14,1.0,1.0,5.0,,,
23,"Rice, Dean",11,4,4.0,15,,,,3.0,4.0,2.0,2.0,2.0,1.0,1.0,,8.0,8,2.0,,2.0,,,
1,"Silvagni, Stephen",12,1,6.0,18,,,,2.0,4.0,1.0,6.0,4.0,4.0,3.0,,11.0,7,,,6.0,,,
8,"Whitnall, Lance",10,7,5.0,15,2.0,3.0,4.0,4.0,1.0,2.0,,3.0,,1.0,,5.0,10,,4.0,5.0,1.0,,
Totals,Totals,213,91,125.0,338,20.0,9.0,36.0,32.0,34.0,48.0,45.0,39.0,20.0,23.0,5.0,151.0,198,13.0,22.0,46.0,5.0,,
Opposition,Opposition,201,66,91.0,292,15.0,9.0,34.0,31.0,27.0,52.0,41.0,26.0,23.0,20.0,1.0,149.0,133,11.0,7.0,33.0,16.0,,
