Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",11,2,6,17,1,1.0,,1.0,,,,,,,3.0,,,,,,,,
35,"Baxter, Darren",13,1,6,19,,,1.0,,,,,,,1.0,,,,,,,,,
1,"Charles, Justin",10,6,2,12,1,1.0,3.0,2.0,,,,,1.0,1.0,,,,,,,,,
20,"Coleman, Glenn",9,9,4,13,,,,1.0,,,,,2.0,,,,,,,,,,
26,"Del-Re, Danny",7,2,3,10,2,,,1.0,,,,,,1.0,,,,,,,,,
12,"Eppelstun, Greg",11,2,6,17,,,,,,,,,,1.0,,,,,,,,,
32,"Foster, Peter",14,8,5,19,,,,,,,,,1.0,,,,,,,,,,
9,"Georgiades, John",13,5,9,22,4,1.0,,,,,,,1.0,,,,,,,,,,
29,"Grant, Chris",3,,1,4,,,,,,,,,2.0,1.0,,,,,,,,,
44,"Grant, Jamie",6,,2,8,,1.0,,1.0,,,,,1.0,3.0,,,,,,,,,
7,"Hawkins, Doug",15,11,5,20,4,5.0,,,,,,,,3.0,2.0,,,,,,,,
43,"Hogg, Matthew",6,3,3,9,,,,1.0,,,,,1.0,1.0,,,,,,,,,
10,"Hunter, Mark",8,1,3,11,,,,,,,,,,1.0,,,,,,,,,
4,"Kellett, Nigel",14,,6,20,,,,1.0,,,,,,1.0,,,,,,,,,
21,"Kolyniuk, Steven",10,1,1,11,1,2.0,,,,,,,2.0,2.0,,,,,,,,,
39,"Liberatore, Tony",13,3,13,26,,,,2.0,,,,,,3.0,,,,,,,,,
27,"Macpherson, Stephen",13,,9,22,,,,1.0,,,,,,,,,,,,,,,
33,"Royal, Brian",8,3,11,19,2,2.0,,3.0,,,,,1.0,2.0,,,,,,,,,
24,"Wallis, Stephen",10,4,8,18,,,,1.0,,,,,1.0,,,,,,,,,,
15,"Wynd, Scott",3,5,9,12,,,10.0,,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,197,66,112,309,15,16.0,14.0,15.0,,,,,14.0,21.0,5.0,,,,,,,,
Opposition,Opposition,192,62,116,308,12,18.0,13.0,26.0,,,,,21.0,14.0,1.0,,,,,,,,
