Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",17,3,8,25,,,,4.0,,,,,1.0,1.0,,,,,,,,,
32,"Baldwin, Jason",10,4,3,13,1,,,,,,,,1.0,1.0,,,,,,,,,
5,"Barker, John",11,7,6,17,,,,3.0,,,,,,1.0,,,,,,,,,
41,"Bird, Peter",1,,,1,1,,,,,,,,1.0,,,,,,,,,,
14,"Bizzotto, Frank",,,,,,,,,,,,,,,,,,,,,,,
1,"Boyd, Brad",16,9,6,22,2,2.0,,2.0,,,,,1.0,2.0,1.0,,,,,,,,
21,"Cavedon, Andrew",2,,,2,,,5.0,,,,,,,,,,,,,,,,
24,"Cummings, Trent",4,2,4,8,,,,2.0,,,,,,,,,,,,,,,
31,"Dent, Matthew",10,1,1,11,,,,2.0,,,,,2.0,1.0,,,,,,,,,
6,"Guard, Jeremy",9,2,5,14,1,,,1.0,,,,,1.0,2.0,,,,,,,,,
3,"Hawkins, Doug",13,5,9,22,1,,,2.0,,,,,3.0,,2.0,,,,,,,,
19,"Holmes, Darren",10,2,6,16,,,1.0,,,,,,1.0,2.0,,,,,,,,,
2,"Johnson, Chris",12,4,2,14,3,2.0,,,,,,,1.0,,,,,,,,,,
30,"Manson, James",9,11,9,18,1,,20.0,1.0,,,,,1.0,,,,,,,,,,
38,"McCarthy, Adam",20,1,7,27,3,1.0,,6.0,,,,,2.0,,,,,,,,,,
25,"McCarthy, John",8,4,1,9,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
7,"Molloy, Jarrod",7,2,7,14,1,,6.0,4.0,,,,,,2.0,,,,,,,,,
34,"Morton, Danny",10,3,9,19,1,1.0,,7.0,,,,,4.0,2.0,,,,,,,,,
4,"Paxman, Stephen",9,5,2,11,,,,1.0,,,,,,,,,,,,,,,
33,"Warfe, Rowan",5,4,8,13,,,,1.0,,,,,,2.0,,,,,,,,,
16,"Zanotti, Mark",13,3,1,14,,,,,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,196,72,94,290,15,9.0,32.0,37.0,,,,,21.0,18.0,3.0,,,,,,,,
Opposition,Opposition,194,81,106,300,9,12.0,36.0,37.0,,,,,18.0,21.0,3.0,,,,,,,,
