Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",10,2,7,17,,2.0,,1.0,,,,,,1.0,,,,,,,,,
19,"Beveridge, Luke",12,4,,12,1,1.0,,2.0,,,,,3.0,1.0,,,,,,,,,
18,"Cameron, Leon",10,1,8,18,,,,,,,,,1.0,,,,,,,,,,
16,"Croft, Matthew",11,7,3,14,,,,,,,,,1.0,1.0,1.0,,,,,,,,
3,"Grant, Chris",8,7,2,10,3,1.0,,,,,,,1.0,1.0,,,,,,,,,
1,"Grgic, Ilija",10,6,3,13,2,,18.0,1.0,,,,,1.0,1.0,3.0,,,,,,,,
7,"Hawkins, Doug",6,3,8,14,,,2.0,1.0,,,,,3.0,1.0,,,,,,,,,
10,"Hunter, Mark",15,2,,15,,,,2.0,,,,,1.0,2.0,,,,,,,,,
33,"Johnson, Brad",11,2,3,14,,,,2.0,,,,,1.0,2.0,,,,,,,,,
21,"Kolyniuk, Steven",6,2,4,10,2,1.0,,,,,,,2.0,,,,,,,,,,
12,"Koster, Kym",7,3,5,12,,,,1.0,,,,,2.0,1.0,,,,,,,,,
35,"Kretiuk, Steven",11,5,2,13,,,,,,,,,,1.0,,,,,,,,,
39,"Liberatore, Tony",11,2,9,20,,,,6.0,,,,,2.0,,,,,,,,,,
27,"Macpherson, Stephen",4,1,1,5,,,,,,,,,,,,,,,,,,,
44,"Osborne, Richard",7,4,2,9,1,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
22,"Quill, Peter",4,,,4,,,,2.0,,,,,2.0,1.0,,,,,,,,,
2,"Reynolds, Keenan",6,5,1,7,2,,1.0,2.0,,,,,1.0,1.0,,,,,,,,,
8,"Southern, Daniel",9,6,7,16,,1.0,1.0,,,,,,1.0,1.0,2.0,,,,,,,,
17,"Standfield, Barry",8,4,1,9,2,,9.0,,,,,,2.0,4.0,,,,,,,,,
24,"Wallis, Stephen",9,3,4,13,,,1.0,5.0,,,,,,,,,,,,,,,
14,"West, Scott",20,4,7,27,,1.0,,3.0,,,,,3.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,195,73,77,272,13,9.0,32.0,29.0,,,,,29.0,21.0,6.0,,,,,,,,
Opposition,Opposition,169,61,102,271,7,13.0,16.0,45.0,,,,,21.0,29.0,,,,,,,,,
