Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
41,"Banfield, Bailey",21y 124d,24 (9-0-15 37.50%),5 (0.21),←,
34,"Bewley, Brett",24y 77d,5 (3-0-2 60.00%),1 (0.20),←,
19,"Blakely, Connor",23y 120d,52 (20-0-32 38.46%),2 (0.04),←,
8,"Brayshaw, Andrew",19y 234d,31 (13-0-18 41.94%),8 (0.26),←,
5,"Cerra, Adam",19y 266d,33 (14-0-19 42.42%),9 (0.27),←,
6,"Conca, Reece",26y 322d,118 (65-1-52 55.51%),23 (0.19),14 (7-0-7 50.00%),
36,"Cox, Brennan",20y 321d,34 (11-0-23 32.35%),27 (0.79),←,
4,"Darcy, Sean",21y 18d,20 (5-0-15 25.00%),4 (0.20),←,
7,"Fyfe, Nat",27y 285d,166 (92-1-73 55.72%),139 (0.84),←,
21,"Hamling, Joel",26y 82d,77 (38-0-39 49.35%),,54 (22-0-32 40.74%),
9,"Hill, Bradley",25y 356d,141 (92-0-49 65.25%),78 (0.55),46 (18-0-28 39.13%),20 (0.43)
15,"Hughes, Ethan",24y 205d,43 (16-0-27 37.21%),4 (0.09),←,
26,"Langdon, Ed",23y 149d,60 (23-0-37 38.33%),28 (0.47),←,
2,"Logue, Griffin",21y 78d,16 (6-0-10 37.50%),1 (0.06),←,
3,"Matera, Brandon",27y 111d,131 (44-1-86 33.97%),162 (1.24),30 (13-0-17 43.33%),38 (1.27)
23,"McCarthy, Cam",24y 90d,64 (28-0-36 43.75%),94 (1.47),43 (16-0-27 37.21%),58 (1.35)
16,"Mundy, David",33y 345d,308 (158-1-149 51.46%),134 (0.44),←,
38,"Ryan, Luke",23y 144d,45 (17-0-28 37.78%),3 (0.07),←,
39,"Switkowski, Sam",22y 222d,13 (6-0-7 46.15%),5 (0.38),←,
18,"Tucker, Darcy",22y 158d,62 (20-0-42 32.26%),26 (0.42),←,
10,"Walters, Michael",28y 174d,143 (73-1-69 51.40%),251 (1.76),←,
14,"Wilson, Nathan",26y 174d,112 (54-2-56 49.11%),17 (0.15),35 (14-0-21 40.00%),1 (0.03)
Totals,Totals,24y 118d,1698 (807-7-884 47.53%),1021 (0.60),,
C,"Lyon, Ross",52y 234d,298 (170-5-123 57.89%),,177 (94-1-82 53.39%),
