Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
9,"AhMat, Robert",22y 293d,50 (27-0-23 54.00%),45 (0.90),25 (15-0-10 60.00%),23 (0.92)
15,"Allison, Brett",31y 347d,226 (128-1-97 56.86%),284 (1.26),7 (4-0-3 57.14%),8 (1.14)
27,"Ball, Jason",27y 168d,108 (66-0-42 61.11%),120 (1.11),5 (3-0-2 60.00%),6 (1.20)
21,"Barry, Leo",22y 354d,58 (33-0-25 56.90%),43 (0.74),←,
24,"Bolton, Jude",20y 53d,14 (5-0-9 35.71%),7 (0.50),←,
8,"Cresswell, Daryn",28y 351d,172 (71-1-100 41.57%),141 (0.82),←,
28,"Crouch, Jared",22y 63d,50 (25-0-25 50.00%),7 (0.14),←,
6,"Dunkley, Andrew",31y 313d,171 (71-2-98 42.11%),10 (0.06),←,
12,"Fosdike, Nic",20y 71d,17 (8-0-9 47.06%),9 (0.53),←,
37,"Goodes, Adam",20y 120d,29 (13-0-16 44.83%),35 (1.21),←,
34,"Luff, Troy",30y 167d,129 (59-2-68 46.51%),77 (0.60),←,
36,"Mathews, Ben",21y 160d,30 (15-0-15 50.00%),6 (0.20),←,
11,"Maxfield, Stuart",28y 28d,190 (95-2-93 50.53%),113 (0.59),101 (60-1-40 59.90%),48 (0.48)
23,"Nicks, Matthew",24y 360d,82 (46-0-36 56.10%),32 (0.39),←,
16,"OConnor, Ryan",25y 315d,82 (40-3-39 50.61%),48 (0.59),19 (8-0-11 42.11%),1 (0.05)
19,"OLoughlin, Michael",23y 77d,110 (62-1-47 56.82%),138 (1.25),←,
22,"Saddington, Jason",20y 197d,53 (28-0-25 52.83%),22 (0.42),←,
25,"Schauble, Andrew",23y 172d,88 (31-0-57 35.23%),14 (0.16),9 (4-0-5 44.44%),3 (0.33)
2,"Schwass, Wayne",31y 162d,238 (130-0-108 54.62%),134 (0.56),54 (29-0-25 53.70%),37 (0.69)
7,"Seymour, Brad",24y 4d,100 (52-1-47 52.50%),9 (0.09),←,
1,"Stafford, Greg",25y 254d,99 (45-1-53 45.96%),32 (0.32),←,
20,"Stevens, John",28y 327d,64 (35-0-29 54.69%),37 (0.58),←,
Totals,Totals,25y 115d,2160 (1085-14-1061 50.23%),1363 (0.63),,
C,"Eade, Rodney",42y 33d,104 (60-1-43 58.17%),,←,
