Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
26,"Bickley, Mark",26y 365d,114 (53-0-61 46.49%),30 (0.26),←,
18,"Bond, Troy",23y 20d,52 (34-0-18 65.38%),39 (0.75),16 (8-0-8 50.00%),13 (0.81)
44,"Caven, Peter",26y 79d,74 (28-0-46 37.84%),37 (0.50),17 (7-0-10 41.18%),16 (0.94)
19,"Chalmers, Brett",23y 102d,38 (15-1-22 40.79%),5 (0.13),←,
17,"Collins, Matthew",19y 183d,8 (2-0-6 25.00%),2 (0.25),←,
14,"Connell, Matthew",24y,34 (12-0-22 35.29%),9 (0.26),31 (10-0-21 32.26%),9 (0.29)
13,"Ellen, Shane",23y 215d,24 (10-0-14 41.67%),2 (0.08),13 (5-0-8 38.46%),1 (0.08)
34,"Hart, Ben",22y 25d,103 (48-1-54 47.09%),24 (0.23),←,
35,"Jameson, Rod",26y 34d,108 (53-1-54 49.54%),86 (0.80),←,
3,"Jarman, Darren",29y 188d,124 (73-0-51 58.87%),162 (1.31),15 (8-0-7 53.33%),40 (2.67)
31,"Kluzek, Matthew",23y 122d,23 (8-0-15 34.78%),14 (0.61),←,
27,"Liptak, Matthew",26y 95d,99 (49-1-49 50.00%),113 (1.14),←,
11,"McGuinness, Tony",32y 89d,218 (102-3-113 47.48%),187 (0.86),109 (52-1-56 48.17%),79 (0.72)
23,"McLeod, Andrew",19y 365d,30 (14-0-16 46.67%),33 (1.10),←,
6,"Modra, Tony",27y 155d,81 (35-1-45 43.83%),317 (3.91),←,
15,"Pittman, David",27y 162d,73 (31-1-41 43.15%),19 (0.26),←,
32,"Ricciuto, Mark",21y 56d,79 (35-1-43 44.94%),55 (0.70),←,
5,"Robran, Matthew",25y 137d,45 (21-0-24 46.67%),35 (0.78),38 (17-0-21 44.74%),30 (0.79)
7,"Smart, Nigel",27y 74d,116 (54-1-61 46.98%),57 (0.49),←,
30,"Vardy, Peter",20y 190d,3 (1-0-2 33.33%),2 (0.67),←,
49,"Viska, Mark",25y 96d,31 (15-0-16 48.39%),1 (0.03),←,
Totals,Totals,24y 288d,1477 (693-11-773 46.92%),1229 (0.83),,
C,"Shaw, Robert",41y 210d,126 (45-0-81 35.71%),,40 (17-0-23 42.50%),
