Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
19,"Beveridge, Luke",24y 333d,71 (42-1-28 59.86%),70 (0.99),29 (18-1-10 63.79%),29 (1.00)
18,"Cameron, Leon",22y 323d,101 (53-2-46 53.47%),44 (0.44),←,
16,"Croft, Matthew",22y 146d,35 (21-1-13 61.43%),17 (0.49),←,
3,"Grant, Chris",22y 221d,115 (62-2-51 54.78%),254 (2.21),←,
1,"Grgic, Ilija",23y 139d,46 (27-1-18 59.78%),70 (1.52),←,
29,"Griffin, Daryl",19y 180d,8 (4-1-3 56.25%),,←,
37,"Hargraves, Daniel",19y 179d,10 (6-0-4 60.00%),11 (1.10),←,
6,"Johnson, Brad",19y 4d,24 (12-1-11 52.08%),15 (0.63),←,
4,"Kellett, Nigel",25y 216d,71 (38-1-32 54.23%),30 (0.42),←,
2,"Kolyniuk, Steven",25y 17d,102 (52-1-49 51.47%),120 (1.18),←,
12,"Koster, Kym",22y 171d,31 (17-1-13 56.45%),10 (0.32),←,
39,"Liberatore, Tony",29y 161d,144 (80-2-62 56.25%),71 (0.49),←,
9,"Nicholson, Brad",21y 48d,22 (12-1-9 56.82%),1 (0.05),←,
44,"Osborne, Richard",31y 36d,237 (100-1-136 42.41%),523 (2.21),34 (19-1-14 57.35%),73 (2.15)
22,"Quill, Peter",25y 333d,37 (23-1-13 63.51%),15 (0.41),←,
11,"Romero, Jose",23y 355d,103 (56-0-47 54.37%),107 (1.04),14 (7-0-7 50.00%),9 (0.64)
5,"Smith, Rohan",22y 52d,46 (27-1-18 59.78%),23 (0.50),←,
8,"Southern, Daniel",20y 202d,37 (18-1-18 50.00%),8 (0.22),←,
17,"Standfield, Barry",25y 159d,90 (50-1-39 56.11%),37 (0.41),←,
7,"West, Scott",20y 250d,56 (30-1-25 54.46%),33 (0.59),←,
15,"Wynd, Scott",25y 178d,119 (61-2-56 52.10%),23 (0.19),←,
Totals,Totals,23y 176d,1505 (791-23-691 52.56%),1482 (0.98),,
C,"Joyce, Alan",52y 274d,131 (87-1-43 66.79%),,38 (20-1-17 53.95%),
