Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
28,"Collins, Matthew",21y 209d,18 (10-0-8 55.56%),2 (0.11),4 (4-0-0 100.00%),
33,"Farmer, Jeff",21y 67d,59 (22-0-37 37.29%),107 (1.81),←,
20,"Febey, Matthew",29y 11d,121 (56-0-65 46.28%),33 (0.27),←,
21,"Febey, Steven",29y 11d,202 (104-0-98 51.49%),30 (0.15),←,
4,"Grgic, Brent",18y 326d,25 (11-0-14 44.00%),12 (0.48),←,
27,"Ingerson, Anthony",28y 321d,98 (39-0-59 39.80%),40 (0.41),61 (23-0-38 37.70%),15 (0.25)
7,"Kowal, Darren",26y 73d,91 (44-0-47 48.35%),35 (0.38),←,
36,"Leoncelli, Andrew",24y 44d,39 (17-0-22 43.59%),7 (0.18),←,
3,"Lyon, Garry",30y 351d,222 (125-1-96 56.53%),420 (1.89),←,
35,"McDonald, Anthony",26y 78d,40 (16-0-24 40.00%),19 (0.47),←,
23,"McDonald, James",21y 329d,23 (14-0-9 60.87%),13 (0.57),←,
9,"Neitz, David",23y 220d,116 (51-0-65 43.97%),163 (1.41),←,
43,"Rigoni, Guy",24y 34d,22 (14-0-8 63.64%),5 (0.23),←,
24,"Robertson, Russell",19y 279d,16 (11-0-5 68.75%),18 (1.13),←,
10,"Seecamp, Marcus",26y 34d,119 (45-0-74 37.82%),16 (0.13),68 (27-0-41 39.71%),6 (0.09)
1,"Shanahan, Jamie",30y 267d,144 (77-1-66 53.82%),,19 (13-0-6 68.42%),
11,"Stynes, Jim",32y 129d,261 (133-1-127 51.15%),130 (0.50),←,
2,"Tingay, Stephen",28y 17d,150 (82-0-68 54.67%),74 (0.49),←,
12,"Viney, Todd",32y 153d,213 (103-1-109 48.59%),83 (0.39),←,
34,"White, Jeff",21y 192d,54 (27-0-27 50.00%),34 (0.63),22 (14-0-8 63.64%),16 (0.73)
22,"Woewodin, Shane",22y 49d,44 (18-0-26 40.91%),11 (0.25),←,
13,"Yze, Adem",20y 343d,69 (28-0-41 40.58%),27 (0.39),←,
Totals,Totals,25y 161d,2146 (1047-4-1095 48.79%),1279 (0.60),,
C,"Daniher, Neale",37y 196d,22 (14-0-8 63.64%),,←,
