Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
18,"Cameron, Jeremy",26y 97d,145 (63-3-79 44.48%),372 (2.57),←,
3,"Coniglio, Stephen",25y 204d,132 (62-1-69 47.35%),78 (0.59),←,
16,"Daniels, Brent",20y 120d,22 (14-0-8 63.64%),10 (0.45),←,
1,"Davis, Phil",28y 311d,156 (76-3-77 49.68%),7 (0.04),138 (65-3-70 48.19%),6 (0.04)
7,"Deledio, Brett",32y 80d,270 (127-6-137 48.15%),196 (0.73),27 (17-1-9 64.81%),14 (0.52)
31,"Finlayson, Jeremy",23y 148d,30 (15-2-13 53.33%),32 (1.07),←,
4,"Greene, Toby",25y 285d,136 (60-1-75 44.49%),154 (1.13),←,
9,"Hately, Jackson",18y 259d,4 (1-0-3 25.00%),,←,
19,"Haynes, Nick",27y 50d,118 (57-3-58 49.58%),9 (0.08),←,
27,"Himmelberg, Harry",23y 60d,55 (35-1-19 64.55%),64 (1.16),←,
2,"Hopper, Jacob",22y 151d,59 (37-1-21 63.56%),24 (0.41),←,
22,"Kelly, Josh",24y 145d,112 (63-2-47 57.14%),71 (0.63),←,
40,"Kennedy, Adam",26y 360d,107 (41-0-66 38.32%),9 (0.08),←,
17,"Langdon, Zac",23y 236d,24 (13-0-11 54.17%),21 (0.88),←,
36,"Perryman, Harry",20y 200d,25 (12-1-12 50.00%),4 (0.16),←,
50,"Reid, Sam",29y 242d,79 (44-3-32 57.59%),28 (0.35),69 (38-3-28 57.25%),27 (0.39)
23,"Shaw, Heath",33y 222d,297 (181-5-111 61.78%),39 (0.13),124 (71-3-50 58.47%),2 (0.02)
26,"Simpson, Dawson",30y 140d,43 (29-1-13 68.60%),4 (0.09),15 (10-1-4 70.00%),
14,"Taranto, Tim",21y 160d,52 (32-1-19 62.50%),22 (0.42),←,
15,"Taylor, Sam",20y 63d,22 (15-0-7 68.18%),1 (0.05),←,
20,"Tomlinson, Adam",25y 331d,130 (55-3-72 43.46%),34 (0.26),←,
29,"Williams, Zac",24y 290d,91 (47-0-44 51.65%),23 (0.25),←,
Totals,Totals,25y 89d,2109 (1079-37-993 51.16%),1202 (0.57),,
C,"Cameron, Leon",46y 308d,132 (72-3-57 55.68%),,←,
