Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
10,"Amon, Karl",27y 267d,133 (74-0-59 55.64%),60 (0.45),9 (1-0-8 11.11%),5 (0.56)
36,"Blanck, James",22y 174d,12 (4-0-8 33.33%),,←,
16,"Bramble, Lachlan",25y 24d,24 (6-2-16 29.17%),1 (0.04),←,
22,"Breust, Luke",32y 183d,268 (164-2-102 61.57%),493 (1.84),←,
30,"Butler, Sam",20y 92d,11 (2-0-9 18.18%),7 (0.64),←,
12,"Day, Will",21y 342d,40 (10-0-30 25.00%),6 (0.15),←,
8,"Frost, Sam",29y 258d,150 (53-2-95 36.00%),9 (0.06),59 (17-2-40 30.51%),1 (0.02)
15,"Hardwick, Blake",26y 97d,133 (57-2-74 43.61%),8 (0.06),←,
4,"Impey, Jarman",27y 308d,159 (74-0-85 46.54%),58 (0.36),84 (34-0-50 40.48%),24 (0.29)
9,"Jiath, Changkuoth",23y 334d,45 (13-0-32 28.89%),2 (0.04),←,
23,"Koschitzke, Jacob",22y 306d,39 (11-2-26 30.77%),45 (1.15),←,
2,"Lewis, Mitch",24y 211d,54 (19-2-33 37.04%),88 (1.63),←,
28,"Mackenzie, Cam",19y 112d,7 (1-0-6 14.29%),1 (0.14),←,
17,"Meek, Lloyd",25y 21d,22 (10-0-12 45.45%),5 (0.23),7 (1-0-6 14.29%),2 (0.29)
40,"Mitchell, Seamus",20y 314d,5 (0-0-5 0.00%),,←,
13,"Moore, Dylan",23y 282d,61 (18-1-42 30.33%),61 (1.00),←,
1,"Morrison, Harry",24y 182d,85 (34-1-50 40.59%),21 (0.25),←,
11,"Nash, Conor",24y 289d,59 (23-1-35 39.83%),16 (0.27),←,
3,"Newcombe, Jai",21y 284d,38 (12-2-24 34.21%),15 (0.39),←,
6,"Sicily, James",28y 127d,124 (59-1-64 47.98%),61 (0.49),←,
37,"Weddle, Josh",18y 353d,3 (0-0-3 0.00%),1 (0.33),←,
20,"Wingard, Chad",29y 288d,211 (98-2-111 46.92%),293 (1.39),64 (22-1-41 35.16%),61 (0.95)
5,"Worpel, James",24y 109d,88 (33-2-53 38.64%),33 (0.38),←,
Totals,Totals,24y 231d,1771 (775-22-974 43.76%),1284 (0.73),,
C,"Mitchell, Sam",40y 213d,31 (9-0-22 29.03%),,←,
