Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
15,"Abraham, Winston",24y 222d,70 (40-0-30 57.14%),110 (1.57),32 (22-0-10 68.75%),55 (1.72)
11,"Archer, Glenn",26y 46d,144 (92-0-52 63.89%),95 (0.66),←,
26,"Bell, Peter",23y 69d,82 (53-0-29 64.63%),77 (0.94),80 (53-0-27 66.25%),75 (0.94)
12,"Blakey, John",32y 289d,281 (145-0-136 51.60%),92 (0.33),146 (93-0-53 63.70%),54 (0.37)
16,"Capuano, Mathew",23y 249d,53 (39-0-14 73.58%),16 (0.30),←,
23,"Clayton, Shane",20y 197d,25 (6-0-19 24.00%),5 (0.20),7 (4-0-3 57.14%),4 (0.57)
3,"Dhurrkay, Gary",25y 66d,58 (24-0-34 41.38%),52 (0.90),7 (4-0-3 57.14%),6 (0.86)
6,"Grant, Shannon",22y 20d,90 (54-1-35 60.56%),90 (1.00),32 (22-0-10 68.75%),52 (1.63)
29,"Harvey, Brent",20y 360d,48 (32-0-16 66.67%),49 (1.02),←,
34,"King, David",27y 63d,114 (74-0-40 64.91%),35 (0.31),←,
4,"Martyn, Mick",30y 251d,228 (132-1-95 58.11%),14 (0.06),←,
5,"McCartney, Jason",25y 56d,104 (53-0-51 50.96%),49 (0.47),29 (19-0-10 65.52%),1 (0.03)
31,"McKernan, Corey",25y 141d,121 (82-0-39 67.77%),132 (1.09),←,
19,"Mooney, Cameron",19y 225d,1 (1-0-0 100.00%),,←,
28,"Pickett, Byron",21y 271d,33 (22-0-11 66.67%),,←,
13,"Pike, Martin",26y 176d,110 (46-0-64 41.82%),53 (0.48),50 (34-0-16 68.00%),13 (0.26)
39,"Rawlings, Brady",17y 333d,5 (4-0-1 80.00%),2 (0.40),←,
8,"Scott, Robert",30y 69d,235 (143-1-91 61.06%),215 (0.91),103 (68-0-35 66.02%),51 (0.50)
24,"Sholl, Craig",31y 130d,205 (120-0-85 58.54%),133 (0.65),←,
7,"Simpson, Adam",23y 82d,72 (51-0-21 70.83%),35 (0.49),←,
10,"Stevens, Anthony",27y 311d,188 (114-0-74 60.64%),87 (0.46),←,
30,"Welsh, Scott",20y 153d,20 (11-0-9 55.00%),15 (0.75),←,
Totals,Totals,24y 305d,2287 (1338-3-946 58.50%),1356 (0.59),,
C,"Pagan, Denis",51y 227d,152 (98-0-54 64.47%),,←,
