West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Butler, Sam",11,10,6,17,,,,2.0,1.0,2.0,1.0,1.0,,,,3.0,14.0,1.0,1.0,3.0,,,80.0
15,"Cripps, Jamie",18,8,2,20,,2.0,,7.0,1.0,5.0,3.0,1.0,1.0,,,6.0,14.0,,1.0,,3.0,,82.0
27,"Darling, Jack",4,4,5,9,2,1.0,,1.0,,1.0,,,,,,6.0,3.0,2.0,2.0,2.0,,,86.0
14,"Duggan, Liam",7,3,4,11,,1.0,,3.0,,5.0,1.0,1.0,,1.0,,2.0,7.0,,1.0,,,,78.0
18,"Ellis, Xavier",11,4,6,17,,,,1.0,5.0,2.0,,2.0,,,,4.0,13.0,,,1.0,,,76.0
3,"Gaff, Andrew",18,4,15,33,1,,,,3.0,3.0,4.0,2.0,,,2.0,13.0,18.0,,,1.0,,,90.0
33,"Hill, Josh",14,5,4,18,1,1.0,,3.0,,8.0,2.0,1.0,3.0,,,8.0,10.0,,,1.0,,2.0,90.0
25,"Hurn, Shannon",7,1,6,13,,,,2.0,2.0,3.0,1.0,,,,,4.0,9.0,,,3.0,,,87.0
17,"Kennedy, Josh",8,7,4,12,3,2.0,,2.0,,4.0,,3.0,,2.0,,4.0,8.0,,4.0,2.0,1.0,1.0,100.0
2,"LeCras, Mark",14,8,7,21,4,3.0,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,7.0,14.0,,3.0,1.0,,1.0,86.0
7,"Masten, Chris",12,4,12,24,,,,3.0,1.0,1.0,2.0,2.0,,1.0,,9.0,15.0,,,1.0,,,91.0
20 ↓,"McGovern, Jeremy",2,3,4,6,,,,,,,,,,,,4.0,2.0,2.0,,3.0,,,62.0
9,"Naitanui, Nic",7,,4,11,1,1.0,43.0,3.0,,3.0,6.0,1.0,5.0,,,12.0,1.0,,,3.0,,,81.0
11,"Priddis, Matt",9,1,23,32,,,,5.0,1.0,3.0,11.0,1.0,3.0,,3.0,22.0,13.0,,,,,2.0,87.0
31,"Schofield, Will",10,7,4,14,,,,2.0,,1.0,,,,,,1.0,12.0,,,10.0,,,100.0
10,"Selwood, Scott",10,4,9,19,1,,,5.0,2.0,2.0,4.0,3.0,,1.0,,7.0,12.0,,,1.0,,,75.0
4 ↑,"Sheed, Dom",1,,2,3,,,,2.0,,,,2.0,,1.0,,1.0,1.0,,,,,,26.0
5,"Sheppard, Brad",8,2,8,16,,,,3.0,2.0,3.0,1.0,1.0,,,,4.0,12.0,1.0,,2.0,1.0,,90.0
13,"Shuey, Luke",6,2,14,20,,,,5.0,,2.0,6.0,2.0,,1.0,,12.0,8.0,1.0,,3.0,1.0,1.0,81.0
22,"Sinclair, Callum",8,3,6,14,1,,30.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,,7.0,7.0,2.0,,8.0,,,80.0
12,"Wellingham, Sharrod",9,6,7,16,,,,2.0,1.0,2.0,,5.0,,2.0,,4.0,13.0,,,4.0,,,87.0
6,"Yeo, Elliot",8,2,8,16,,,,3.0,4.0,3.0,4.0,,,,,9.0,7.0,1.0,,1.0,1.0,,85.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,202,88,160,362,14,12.0,73.0,57.0,26.0,55.0,51.0,34.0,16.0,13.0,6.0,149.0,213.0,10.0,12.0,50.0,7.0,7.0,
Opposition,Opposition,214,120,199,413,6,10.0,28.0,97.0,33.0,35.0,37.0,52.0,13.0,16.0,,128.0,292.0,10.0,6.0,34.0,4.0,4.0,
