Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
6,"Barnes, John",27y 302d,112 (64-2-46 58.04%),47 (0.42),100 (58-1-41 58.50%),35 (0.35)
30,"Biddiscombe, Craig",20y 190d,13 (7-1-5 57.69%),1 (0.08),←,
8,"Burns, Ronnie",24y 17d,22 (12-1-9 56.82%),34 (1.55),←,
2,"Colbert, Leigh",21y 296d,66 (43-1-22 65.91%),28 (0.42),←,
33,"Corrigan, Paul",19y 243d,1 (0-0-1 0.00%),,←,
7,"Couch, Paul",32y 254d,255 (150-1-104 59.02%),202 (0.79),←,
36,"Graham, Ben",23y 148d,50 (34-0-16 68.00%),5 (0.10),←,
19,"Hall, Derek",26y 121d,37 (22-1-14 60.81%),35 (0.95),35 (20-1-14 58.57%),32 (0.91)
13,"Kilpatrick, Glenn",24y 213d,38 (20-0-18 52.63%),4 (0.11),12 (6-0-6 50.00%),
1,"King, Steven",18y 128d,14 (6-0-8 42.86%),4 (0.29),←,
18,"Lynch, Paul",23y 163d,31 (23-0-8 74.19%),10 (0.32),←,
21,"Mansfield, Michael",25y 234d,119 (71-1-47 60.08%),67 (0.56),←,
17,"McGrath, Tim",26y 174d,123 (78-1-44 63.82%),11 (0.09),116 (74-1-41 64.22%),11 (0.09)
28,"McKinnon, Martin",21y 268d,45 (21-1-23 47.78%),15 (0.33),20 (11-1-8 57.50%),8 (0.40)
39,"Milburn, Darren",19y 349d,1 (0-0-1 0.00%),2 (2.00),←,
15,"Riccardi, Peter",24y 103d,105 (67-1-37 64.29%),105 (1.00),←,
4,"Robbins, Matthew",19y 326d,2 (0-0-2 0.00%),,←,
27,"Sanderson, Brenton",23y 31d,45 (25-1-19 56.67%),10 (0.22),35 (23-1-11 67.14%),5 (0.14)
12,"Sholl, Brad",24y 140d,50 (30-1-19 61.00%),9 (0.18),48 (30-1-17 63.54%),9 (0.19)
20,"Steinfort, Carl",19y 363d,3 (0-0-3 0.00%),,←,
26,"Stoneham, Barry",29y 49d,174 (102-2-70 59.20%),160 (0.92),←,
Totals,Totals,23y 248d,1306 (775-15-516 59.34%),749 (0.57),,
C,"Ayres, Gary",36y 183d,49 (31-1-17 64.29%),,←,
