Notes,Previous,Current
Port Adelaide's lowest score,"87 v Collingwood - R1,1997","21 v Collingwood - R20,2011"
Port Adelaide's lowest score conceded,"166 v Collingwood - R1,1997","20 v Gold Coast - R23,2017"
